Species,Growth Form/ Life History,Total_BMF,Total_SMF,Total_LMF,Total_ReMF,total.biomass,First Bud (Julian day),First Flower (Julian day),Interim Period (days),Daylength at First Bud (hours),Daylength at First Flower (hours)
H. agrestis,Annual,0.048,0.775,0.126,0.051,2314.9,271,324,53,11.93,10.32
H. angustifolius,Erect Perennial,0.204,0.555,0.190,0.050,2161.2,254,316,62,12.51,10.49
H. annuus,Annual,0.148,0.506,0.163,0.182,1097.1,195,224,30,14.19,13.47
H. argophyllus,Annual,0.134,0.554,0.195,0.117,1691.5,214,238,24,13.73,13.02
H. atrorubens,Erect Perennial,0.212,0.491,0.233,0.064,1506.3,231,287,57,13.28,11.37
H. carnosus,Basal Rosette Perennial,0.266,0.357,0.333,0.045,973.0,217,269,51,13.69,12.00
H. cusickii,Erect Perennial,0.365,0.286,0.309,0.040,59.3,193,207,15,14.24,13.94
H. debilis ssp. tardiflorus,Annual,0.182,0.609,0.161,0.049,1784.3,219,249,30,13.59,12.66
H. divaricatus,Erect Perennial,0.559,0.226,0.153,0.063,965.6,209,234,26,13.93,13.20
H. floridanus,Erect Perennial,0.208,0.601,0.166,0.025,3096.6,267,345,78,12.06,9.95
H. giganteus,Erect Perennial,0.323,0.438,0.192,0.047,1092.8,222,263,41,13.53,12.19
H. grosseserratus,Erect Perennial,0.311,0.453,0.162,0.075,1033.6,201,232,32,14.09,13.26
H. heterophyllus,Basal Rosette Perennial,0.189,0.390,0.375,0.047,396.5,249,308,58,12.67,10.73
H. longifolius,Basal Rosette Perennial,0.265,0.378,0.287,0.069,1368.9,247,294,47,12.75,11.14
H. maximiliani,Erect Perennial,0.219,0.540,0.170,0.071,1493.7,203,238,36,14.05,13.05
H. microcephalus,Erect Perennial,0.385,0.417,0.151,0.047,1581.0,224,272,48,13.49,11.92
H. mollis,Erect Perennial,0.419,0.312,0.196,0.073,1228.3,211,251,40,13.84,12.61
H. neglectus,Annual,0.062,0.603,0.195,0.140,668.1,192,214,21,14.22,13.77
H. niveus ssp. tephrodes,Annual,0.180,0.597,0.210,0.013,831.1,229,267,38,13.35,12.07
H. occidentalis ssp. occidentalis,Basal Rosette Perennial,0.343,0.280,0.315,0.063,324.8,211,239,28,13.85,13.02
H. petiolaris ssp. petiolaris,Annual,0.050,0.571,0.228,0.151,462.5,188,206,18,14.30,13.97
H. porteri,Annual,0.194,0.624,0.118,0.065,1733.0,242,275,33,12.94,11.80
H. praecox ssp. runyonii,Annual,0.041,0.639,0.219,0.102,1044.1,182,198,16,14.36,14.15
H. radula,Basal Rosette Perennial,0.177,0.413,0.376,0.034,1685.7,252,311,59,12.58,10.63
H. salicifolius,Erect Perennial,0.212,0.569,0.207,0.012,631.5,240,271,32,13.00,11.92
H. silphioides,Erect Perennial,0.366,0.401,0.195,0.038,1732.5,237,290,53,13.09,11.30
H. verticillatus,Erect Perennial,0.312,0.461,0.183,0.046,1767.3,239,280,41,13.04,11.64
P. tenuifolius,Erect Perennial,0.333,0.368,0.168,0.131,207.5,213,253,39,13.80,12.56
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
