Species,Biomass
Helianthus agrestis,2314.933333
Helianthus angustifolius,2161.2
Helianthus annuus,1097.133333
Helianthus argophyllus,1691.533333
Helianthus atrorubens,1506.266667
Helianthus carnosus,972.9666667
Helianthus cusickii,59.3
Helianthus debilis ssp. tardiflorus,1784.266667
Helianthus divaricatus,965.55
Helianthus floridanus,3096.633333
Helianthus giganteus,1092.766667
Helianthus grosseserratus,1033.566667
Helianthus heterophyllus,396.5
Helianthus longifolius,1368.866667
Helianthus maximiliani,1493.666667
Helianthus microcephalus,1580.975
Helianthus mollis,1228.3
Helianthus neglectus,668.1333333
Helianthus niveus ssp. tephrodes,831.1333333
Helianthus occidentalis ssp. occidentalis,324.8
Helianthus petiolaris ssp. petiolaris,462.5333333
Helianthus porteri,1733
Helianthus praecox ssp. runyonii,1044.1
Helianthus radula,1685.666667
Helianthus salicifolius,631.4666667
Helianthus silphioides,1732.5
Helianthus verticillatus,1767.3
Phoebanthus tenuifolius,207.5333333
