key	KN1_R2	KN2_R2	KN3_R2	KN4	KN5	KN6	KN7	KN8	KN9	KN10	KN11	KN12_R1	KN13_R1	KN14_R1
BSU00010	14452.3	13900.3	10181.5	5990.2	25035.7	17631.2	18136.9	0	21005.4	17752.3	18831.1	25612	12106.7	12446.8
BSU00020	9216.3	10413.7	7312.7	2324.3	5630	5223.9	8183.4	0.5	12340.3	11490	9727.7	5120.3	2459.3	4640.3
BSU00030	44896.1	30560.4	27815	3728.6	98871.7	48311.1	39979	0	37757.2	35680.5	33071	128561.5	72274.7	44587.7
BSU00040	18644.8	20640.9	20370.6	6496.8	69134.7	28965.5	21499	2.9	16078.6	15949.2	26774.9	97853.8	45509.3	29626.5
BSU00050	3569.1	7192.3	6050.7	2466.1	25336.5	9742.6	8431	0	7609.8	6016.1	5655.6	24263.5	15147	10861.6
BSU00060	22707.9	26611.9	23084.7	48736.2	105281.6	44509.3	30447.6	1.3	27665.5	27661.1	37679.9	102264	52123	37342.8
BSU00070	27954.8	27581.6	25546.8	54894.5	119347	45290.8	35806.1	2.6	21916.5	26130.2	28505.9	165375.5	76486.2	43772.7
BSU00080	2.6	26.7	14.3	0	0	0	27.1	0.5	11.7	8.7	26.9	6.7	10.5	9.9
BSU00090	211838.8	185328.7	105134.4	93811.9	108291.7	155788.5	200008.8	3.1	214794.6	199760.8	184445.5	70326.9	155548.3	205603.8
BSU00100	5003.1	5236.5	6514.9	6083	8391.5	5696.8	7388.1	0	4269.2	4111.4	5332.2	13677.6	6087.7	4781.8
BSU00110	23811.7	25030.3	24571.3	52813.4	21141.1	25767.2	24903	1.8	25020.3	17739.9	24170.8	29040.8	36484.1	29120.6
BSU00120	44284.5	31796.1	35293.2	97385.6	22648.7	27497.8	31245	1.2	34652.9	30896.3	28958.5	35790.2	39051.7	34340.7
BSU00130	3001.7	3443.1	4742.3	5810.8	1387.3	1484	1792.8	8.1	3422.4	3488.1	7073.5	736.8	1254.6	1301.7
BSU00140	694.5	832.2	538.4	0	305.4	513.1	318.6	0	820.4	516	811.8	468	347.8	327
BSU00150	1655.3	1580	1189.1	368.8	1439	937.5	934.7	0	1795.7	1495.7	815.5	1308.5	1150.8	770
BSU00160	31.5	60.6	153.3	0	79.7	40.2	77.4	0	7.2	119.4	99.4	29.9	67.4	48.7
BSU00170	0	55.8	64.1	0	59.7	112.9	31	0	11.4	177.5	22.8	45.9	0	30.9
BSU00180	932.6	684.1	1074.9	1650	3262.8	2088.6	1370	0	943.7	1028.7	1334.4	3360.7	3003.1	1611.5
BSU00190	6986.8	6313.4	6844.3	15821.1	51886.8	18376.5	15379	2.7	6594.9	5657.4	6824.2	98426.1	42770.3	22163.8
BSU00200	5989.3	4614.6	4336.4	7198.9	31649.6	11813.3	8359.8	0	4915	3881.7	4656.7	39131.6	21744.3	10215.1
BSU00210	2617.2	3104.8	3425.3	1985.6	9391.5	4409.9	3644.1	1.8	3594	2356.2	3746.5	8200.2	4301.2	3528.4
BSU00220	1238.3	1616.3	1692.9	2215.9	3185.9	1206.9	1874.2	0	863.4	883.9	1502.4	2227.5	1061	1369.4
BSU00230	494.3	413.5	446	0	787.5	339.7	517.6	0	718.9	496.2	288.3	229.3	70.9	113.3
BSU00240	48.5	629	546.5	0	745.8	210.4	572.1	0	211.7	209	641.3	1170.6	796.3	962.4
BSU00250	667.7	634.8	700	2704.2	3820.2	1365.4	1530.4	0	877.7	517.5	733.8	2194.1	1659	1769.1
BSU00260	921.7	943.7	1192.7	4873.9	4596.4	2350.4	1617.2	0	1543.5	1165.5	1196.6	2493.1	2044.6	1847.4
BSU00270	5152.6	5274.5	5077.4	28607.1	13800.4	8210.7	7649.9	0	6452.8	5545.3	5335.8	15209	9389.9	7598.8
BSU00280	2803.6	2442.5	1692.7	10077.5	6653.6	3081.5	2844.6	0	3310.9	1804.7	1993.6	4734.9	3014.9	2367.4
BSU00290	5101.6	5709.8	5487	18467.8	15327	9002.4	6256	0	5078.4	5064.4	6399.7	17172.1	12961.7	9188.3
BSU00300	2801.4	3372.2	3158	10712.4	10758.4	4455.9	4988.9	0	3319.8	3378.1	3294	9576.9	7167	5371.9
BSU00310	5500.7	5112.6	4156.5	5525.6	17669.5	9837.1	7308.8	0	5384.3	4526.5	4252.3	13102.8	10609.7	7739.7
BSU00320	12814.3	10412.4	10887.9	10337.3	57434.7	32626.4	21498.1	0	10966.4	10747.9	12089.7	48081.2	40418.1	30547
BSU00330	7531.6	6850.9	7146.9	6508.1	37647.3	18514.7	14956.9	0	8373.5	7285.7	7391.4	31343.6	24453.3	19825.4
BSU00340	1955	1867	1255.2	1874.5	3177	2272.4	2018.5	0	1472.9	1248.6	1516.9	2211.5	2148.9	1527.9
BSU00350	954	1561.8	1172.2	1522.4	2221.4	1480.8	1439.9	0	1319.7	977.3	1154.9	1914.7	882.4	993.7
BSU00360	2077	2753.6	3040.5	4291.7	3134.2	2930.5	2443.3	0	2310.3	2069.6	2989.5	3589.7	2082.6	2908.3
BSU00370	83471	104293.7	83174.9	278451.7	330396.7	123425.3	93706.9	0	150461.3	134556.1	121594.1	434959.8	257605.8	173867.6
BSU00380	3235.5	3952.4	3250.8	2502.6	1713.5	3980.5	2806.4	0	4013.5	3865.5	3256.2	2164.5	2479.7	3150.6
