key,KN1_R2
BSU00010,14452.3
BSU00020,9216.3
BSU00030,44896.1
BSU00040,18644.8
BSU00050,3569.1
BSU00060,22707.9
BSU00070,27954.8
BSU00080,2.6
BSU00090,211838.8
BSU00100,5003.1
BSU00110,23811.7
BSU00120,44284.5
BSU00130,3001.7
BSU00140,694.5
BSU00150,1655.3
BSU00160,31.5
BSU00170,0
BSU00180,932.6
BSU00190,6986.8
BSU00200,5989.3
BSU00210,2617.2
BSU00220,1238.3
BSU00230,494.3
BSU00240,48.5
BSU00250,667.7
BSU00260,921.7
BSU00270,5152.6
BSU00280,2803.6
BSU00290,5101.6
BSU00300,2801.4
BSU00310,5500.7
BSU00320,12814.3
BSU00330,7531.6
BSU00340,1955
BSU00350,954
BSU00360,2077
BSU00370,83471
BSU00380,3235.5
BSU00390,2654.1
BSU00400,13641.3
BSU00410,6409.8
BSU00420,4409.6
BSU00430,32.1
BSU00440,302308.5
BSU00450,416524.6
BSU00460,20331.6
BSU00470,29978.1
BSU00480,31994.5
BSU00490,8672.5
BSU00500,9150.2
BSU00510,22045
BSU00520,30971.4
BSU00530,4780.5
BSU00540,1067.7
BSU00550,3238.1
BSU00560,1739.8
BSU00570,1435.4
BSU00580,2035.2
BSU00590,3556.3
BSU00600,881.4
BSU00610,451.3
BSU00620,2453.7
BSU00630,19598.2
BSU00640,514
BSU00650,746.8
BSU00660,199.7
BSU00670,8182.2
BSU00680,4552.2
BSU00690,83248.6
BSU00700,1800.9
BSU00710,3862.8
BSU00720,1957.4
BSU00730,5857.2
BSU00740,6226.3
BSU00750,42693.9
BSU00760,5339.4
BSU00770,17277.5
BSU00780,6270.6
BSU00790,12836.7
BSU00800,14010.8
BSU00810,26290.1
BSU00820,13041.9
BSU00830,348.2
BSU00840,302.7
BSU00850,534.3
BSU00860,2226.9
BSU00870,4308.8
BSU00880,4576.8
BSU00890,7472.8
BSU00900,7593.3
BSU00910,925
BSU00920,9797.6
BSU00930,2958.4
BSU00940,2844.8
BSU00950,1004
BSU00960,5555.3
BSU00970,1399.6
BSU00980,2766
BSU00990,8580.8
BSU01000,2424.6
BSU01010,11634.2
BSU01020,99117.7
BSU01030,95883
BSU01040,33101
