Name,wildtype-rep1
CPE0001,32
CPE0002,87
CPE0003,11
CPE0004,223
CPE0005,33
CPE0006,61
CPE0007,142
CPE0008,52
CPE0009,16
CPE0010,21
CPE0011,49
CPE0012,134
CPE0013,70
CPE0014,96
CPE0015,0
CPE0016,7
CPE0017,3
CPE0018,2
CPE0019,407
CPE0020,20
CPE0021,37
CPE0022,21
CPE0023,90
CPE0024,16
CPE0025,146
CPE0026,71
CPE0027,21
CPE0028,129
CPE0029,22
CPE0030,128
CPE0031,60
CPE0032,406
CPE0033,8
CPE0034,5
CPE0035,203
CPE0036,279
CPE0037,1
CPE0038,3
CPE0039,2
CPE0040,1
CPE0041,115
CPE0042,13
CPE0043,38
CPE0044,14
CPE0045,50
CPE0046,453
CPE0047,48
CPE0048,50
CPE0049,42
CPE0050,3
CPE0051,22
CPE0052,10
CPE0053,43
CPE0054,7
CPE0055,20
CPE0056,100
CPE0057,38
CPE0058,18
CPE0059,25
CPE0060,19
CPE0061,60
CPE0062,109
CPE0063,45
CPE0064,21
CPE0065,46
CPE0066,4
CPE0067,7
CPE0068,43
CPE0069,31
CPE0070,51
CPE0071,52
CPE0072,20
CPE0073,27
CPE0074,17
CPE0075,394
CPE0076,22
CPE0077,1
CPE0078,10
CPE0079,155
CPE0080,17
CPE0081,58
CPE0082,4208
CPE0083,40
CPE0084,62
CPE0085,26
CPE0086,7
CPE0087,10
CPE0088,13
CPE0089,27
CPE0090,54
CPE0091,170
CPE0092,37
CPE0093,35
CPE0094,72
CPE0095,14
CPE0096,21
CPE0097,46
CPE0098,2457
CPE0099,2
CPE0100,4
CPE0101,5
CPE0102,210
CPE0103,495
CPE0104,236
CPE0105,19
CPE0106,31
CPE0107,283
CPE0108,71
CPE0109,86
CPE0110,215
CPE0111,59
CPE0112,102
CPE0113,2838
CPE0114,1182
CPE0115,47
CPE0116,16
CPE0117,30
CPE0118,36
CPE0119,26
CPE0120,38
CPE0121,0
CPE0122,2
CPE0123,21
CPE0124,2
CPE0125,7
CPE0126,39
CPE0127,1
CPE0128,5
CPE0129,4
CPE0130,1
CPE0131,12
CPE0132,45
CPE0133,36
CPE0134,1
CPE0135,652
CPE0136,66
CPE0137,50
CPE0138,53
CPE0139,22
CPE0140,19
CPE0141,0
CPE0142,4
CPE0143,5
CPE0144,30
CPE0145,4
CPE0146,0
CPE0147,35
CPE0148,70
CPE0149,9
CPE0150,4
CPE0151,11
CPE0152,6
CPE0153,3
CPE0154,8
CPE0155,2
CPE0156,2
CPE0157,1
CPE0158,5
CPE0159,169
CPE0160,17
CPE0161,20
CPE0162,143
CPE0163,2443
CPE0164,267
CPE0165,4182
CPE0166,7
CPE0167,3
CPE0168,1055
CPE0169,951
CPE0170,249
CPE0171,220
CPE0172,175
CPE0173,402
CPE0174,72
CPE0175,30
CPE0176,44
CPE0177,17
CPE0178,100
CPE0179,28
CPE0180,15
CPE0181,3
CPE0182,17
CPE0183,127
CPE0184,11
CPE0185,10
CPE0186,8
CPE0187,3
CPE0188,15
CPE0189,87
CPE0190,875
CPE0191,102
CPE0192,6
CPE0193,3
CPE0194,10
CPE0195,19
CPE0196,14
CPE0197,53
CPE0198,4
CPE0199,21
CPE0200,232
CPE0201,45
CPE0202,202
CPE0203,4
CPE0204,4
CPE0205,188
CPE0206,27
CPE0207,73
CPE0208,27
CPE0209,11
CPE0210,33
CPE0211,47
CPE0212,10
CPE0213,27
CPE0214,1545
CPE0215,18
CPE0216,43
CPE0217,147
CPE0218,89
CPE0219,4
CPE0220,7
CPE0221,0
CPE0222,0
CPE0223,0
CPE0224,0
CPE0225,0
