Gene.ID,24hpi_CtE_Hep2_MOI_1_rRNAdep.Avg.RPKM
CT875,0.7912822
CT001,8.9327432
CT002,1.3276492
CT003,0.6854300
CT004,0.6225897
CT005,0.0904440
CT006,0.0352842
CT007,0.4191205
CT008,0.1723936
CT009,0.3670978
CT010,0.1841347
CT011,0.5441273
CT012,1.0250065
CT013,1.5531787
CT014,0.7920079
CT015,0.2599786
CT016,0.3864667
CT017,1.1815843
CT018,0.2871717
CTs01,162.4800184
CT019,0.3530512
CT020,0.1651419
CT021,0.0445751
CT022,3.5980017
CT023,0.7464832
CT024,0.3654869
CT025,0.7909082
CT026,1.3506062
CT027,0.9412659
CT028,1.2610056
CT029,0.8048770
CT030,0.6521672
CT031,1.0674486
CT032,0.5446926
CT033,0.1771403
CT034,0.3664046
CT035,0.2212814
CT036,0.1017643
CT037,0.0744170
CTt01,0.1505290
CT038,0.3792228
CT039,1.2077283
CT039.1,0.0491477
CT040,0.6099297
CT041,1.2112988
CT042,0.1238704
CT043,2.7893784
CT044,0.9760270
CT045,0.5421505
CT046,1.1491861
CT047,0.1093453
CT048,0.0504611
CT049,0.0190197
CT050,0.0355619
CT051,0.0523491
CT052,0.1937456
CT053,0.6909280
CT054,0.1445612
CT055,0.2691456
CT056,0.3052144
CT057,0.2983732
CT058,0.0800111
CT059,0.1135697
CTt02,0.1082701
CT060,0.1188846
CT061,0.1788300
CT062,0.5277526
CT063,0.2794650
CT064,0.4860813
CT065,1.5402035
CT066,2.4285024
CT067,1.6877771
CT068,1.4811768
CT069,1.0182392
CT070,1.0745275
CT071,0.8339777
CT072,0.6806560
CT073,0.4366790
CT074,0.1274257
CT075,0.6167482
CT076,0.3243990
CT077,0.1175584
CT078,0.1314226
CT079,0.1039154
CT080,3.8819355
CT081,9.5712266
CT082,0.0942834
CT083,0.1597737
CT084,0.3176127
CT085,0.1433279
CT086,2.6947969
CT087,0.0574273
CT088,0.2168872
CT089,0.6401769
CT090,1.0417252
CT091,0.6059898
CT092,0.1266902
CT093,0.2497847
CT094,1.0401920
CT095,2.0152572
CT096,1.2470359
CT097,1.5653885
CT098,2.7287240
CT099,0.5149394
CT100,0.3560887
CT101,0.2545326
CT102,0.5599315
CT103,0.3850586
CT104,0.4377587
CT105,0.0578875
CT106,0.0830996
CT107,0.0656413
CT108,0.2721124
CT109,0.1885468
CT110,5.4768727
CT111,3.5425603
CT112,0.4840072
CT113,0.8071243
CT114,0.3783794
CT115,0.2453064
CT116,0.6646743
CT117,0.7596712
CT118,0.3480606
CT119,0.1263999
CT120,0.0798736
CT121,0.4701047
CT122,0.7671858
CT123,0.5551403
CT124,0.4821382
CT125,3.7253837
CT126,2.6576679
CT127,0.2110925
CT128,0.4002564
CT129,0.2748049
CT130,0.2225194
CT131,0.1229655
CT132,0.0910558
CT133,0.1372057
CT134,0.3351622
CT135,0.2163491
CT136,1.6036351
CT137,0.5779666
CT138,0.3115965
CT139,0.1200665
CT140,0.3120231
CT141,0.4932147
CTt03,0.4933542
CTt04,0.3017851
CT142,0.9570980
CT143,0.5830988
CT144,0.3957407
CT145,0.3403719
CT146,0.2235270
CT147,0.1843728
CT148,0.3083980
CT149,0.0530578
CT150,1.9240795
CT151,0.5418648
CT152,0.1459034
CT153,0.2819938
CT154,0.0477845
CT155,0.0496864
CT156,0.0466712
CT157,0.0419913
CT158,0.0772002
CT159,0.0592742
CT160,0.0922709
CT161,0.0633854
CT162,0.0113407
CT163,0.0613768
CT164,0.1412877
CT165,0.2412217
CT166,0.0562102
CT167,0.1339931
CT168,0.0979699
CT169,1.8843763
CT170,0.0804804
CT171,0.1661770
CT172,0.0310653
CT172.1,0.0519960
CT173,0.0470209
CT174,0.0679207
CT175,0.1222103
CT176,0.4365204
CT177,1.3205647
CT178,0.6741523
CT179,0.5240413
CT180,1.2198618
CTt05,2.5075409
CTt06,1.3443191
CT181,0.2739770
CT182,0.4084288
CT183,0.2018041
CT184,0.2597927
CT185,0.7713636
CT186,0.5176950
CT187,0.4008897
CT188,0.4769610
CT189,0.9312246
CT190,0.6962826
CT191,0.5034484
CT192,0.0414903
CT193,0.1099541
CT194,0.3181555
CT195,0.1037189
CT196,0.0852549
CT197,0.2276863
CT198,0.2244070
CT199,0.2388247
CT200,0.2514719
CT201,0.1958854
CT202,0.1523713
CT203,0.4111725
CT204,0.2326636
CT205,0.2504332
CT206,0.2007699
CT207,0.3643476
CTt07,1.0755439
CTt08,0.4911260
CT208,0.1867613
CT209,0.2563238
CT210,0.4019325
CT211,0.4530795
CT212,0.7084627
CT213,0.2273713
CT214,0.2947440
CT215,0.7574306
CT216,0.5616539
CT217,0.2848883
CT218,0.8601125
CT219,0.1390955
CT220,0.2736820
CT221,1.2378190
CTt09,2.5733070
CTt10,0.9993738
CT221.1,0.1837725
CT222,0.1413103
CT223,0.5077756
CT224,0.1326396
CT225,0.4061425
CT226,0.1303887
CT227,0.2399452
CT228,1.4957626
CT229,0.2067567
CT230,0.0957154
CT231,0.1508512
CT232,0.2503784
CT233,0.1374973
CT234,0.1005172
CT235,0.2192908
CT236,7.3478258
CT237,0.7024674
CT238,0.3285092
CT239,0.6418889
CT240,0.1972788
CT241,1.4661916
CT242,2.0585513
CT243,1.1770413
CT244,0.1186959
CT245,0.3559172
CT246,0.2638467
CT247,0.2743587
CT248,0.4969718
CT249,0.2598130
CT250,0.3650433
CT251,0.9102965
CT252,0.2791829
CT253,1.0970247
CT254,0.4339380
CT255,0.2680949
CT256,0.2941956
CT257,0.2538055
CT258,0.3399576
CT259,0.2368843
CT260,0.7351265
CT261,0.5658369
CT262,0.2990810
CT263,0.3374440
CT264,0.3933655
CT265,0.8974944
CT266,0.9316785
CT267,12.5513774
CT268,0.9733153
CT269,1.6138973
CT270,0.2090199
CT271,0.6094899
CT272,0.3611585
CT273,0.9739423
CT274,0.4156166
CT275,1.2130421
CT276,0.5830513
CT277,0.2173380
CT278,0.8990276
CT279,0.3676876
CT280,0.4811370
CT281,0.5835621
CT282,0.9023463
CT283,0.8539188
CT284,0.2137327
CT285,0.1530617
CT286,0.8203271
CT287,0.5082465
CT288,0.2213037
CT289,2.0991355
CT290,0.6002337
CT291,0.9404478
CT292,1.9763651
CT293,0.5236375
CT294,1.0917274
CT295,0.8885478
CT296,1.1981448
CT297,0.2919399
CT298,0.2420759
CT299,0.1702086
CT300,0.0551011
CT301,0.1986753
CT302,0.3367713
CT303,0.6551251
CT304,0.5762016
CT305,0.2616685
CT306,0.3793070
CT307,0.3432814
CT308,0.2287926
CT309,0.1968931
CT310,0.6241750
CT311,0.6014054
CT312,3.6091703
CT313,5.2164335
CT314,1.9912578
CT315,1.3559514
CT316,3.6736372
CT317,2.3158709
CT318,1.5719823
CT319,2.1524036
CT320,1.0715730
CT321,1.1574780
CTt11,1.2167444
CT322,2.6095001
CTt12,3.4076215
CT323,1.0954205
CT324,0.0847934
CT325,0.1563153
CT326,0.0494630
CT326.1,0.0080259
CT326.2,0.5524209
CTt13,0.0557156
CT327,0.9866585
CT328,0.4828339
CT329,0.2968647
CT330,0.8350409
CT331,0.1958685
CT332,0.5751966
