Gene,mRNA level (RPKM)
aaeA,6
aaeB,6
aaeR,21
aaeX,6
aas,26
aat,31
abgA,1
abgB,1
abgR,3
abgT,1
abrB,5
accA,506
accB,1225
accC,1138
accD,511
aceA,64
aceB,73
aceE,3442
aceF,2857
aceK,16
ackA,1108
acnA,18
acnB,377
acpH,14
acpP,9325
acpS,51
acpT,51
acrA,251
acrB,253
acrD,7
acrE,1
acrF,4
acrR,17
acs,6
actP,5
ada,10
add,24
ade,28
adhE,141
adhP,4
adiA,2
adiC,1
adiY,1
adk,473
adrA,1
adrB,1
aegA,2
aer,4
aes,2
afuC,2
agaB,0
agaC,1
agaD,0
agaI,1
agaR,88
agaS,0
agaV,2
agp,4
ahpC,1828
ahpF,223
aidB,4
ais,6
alaA,104
alaC,48
alaS,501
aldA,28
aldB,1
alkA,4
alkB,4
allA,7
allB,1
allC,4
allD,0
allR,88
allS,1
alpA,1
alr,91
alsA,1
alsB,4
alsC,1
alsE,2
alsK,3
alx,33
amiA,64
amiB,69
amiC,68
amiD,26
amn,23
ampC,23
ampD,19
ampE,21
ampG,83
ampH,29
amtB,5
amyA,4
anmK,17
ansA,91
ansB,7
ansP,27
apaG,140
apaH,33
apbE,25
aphA,12
appA,2
appB,3
appC,2
appY,13
apt,483
aqpZ,9
araA,2
araB,0
araC,16
araD,1
araE,15
araF,1
araG,1
araH,2
araJ,11
arcA,394
arcB,29
argA,5
argB,12
argC,10
argD,44
argE,20
argF,10
argG,42
argH,20
argI,2
argK,1
argO,28
argP,33
argR,181
argS,195
argT,28
ariR,6
arnA,9
arnB,10
arnC,7
arnD,4
arnE,2
arnF,1
arnT,2
aroA,77
aroB,443
aroC,128
aroD,17
aroE,141
aroF,43
aroG,153
aroH,73
aroK,744
aroL,67
aroM,33
aroP,88
arpA,0
arrD,6
arrQ,0
arsB,7
arsC,8
arsR,9
artI,128
artJ,14
artM,76
artP,100
artQ,86
ascB,5
ascF,4
ascG,18
asd,263
aslA,2
aslB,3
asmA,43
asnA,216
asnB,63
asnC,21
asnS,718
aspA,118
aspC,139
aspS,366
asr,1
astA,0
astB,1
astC,1
astD,1
astE,1
atoA,0
atoB,1
atoC,2
atoD,0
atoE,0
atoS,1
atpA,2724
atpB,1695
atpC,2193
atpD,2177
atpE,4114
atpF,3109
atpG,1914
atpH,2938
atpI,764
avtA,117
azoR,27
azuC,350
bacA,112
baeR,28
baeS,4
bamA,378
bamB,311
bamC,342
bamD,268
bamE,351
barA,22
basR,47
basS,31
bax,113
bcp,279
bcr,61
bcsA,7
bcsB,8
bcsC,10
bcsE,53
bcsF,3
bcsG,32
bcsZ,8
bdm,0
betA,15
betB,27
betI,44
betT,19
bfd,1
bfr,20
bglA,101
bglB,1
bglF,1
bglG,1
bglH,1
bglJ,1
bglX,56
bhsA,40
bioA,106
bioB,193
bioC,126
bioD,109
bioF,156
bioH,36
birA,66
bisC,30
blc,2
blr,77
bolA,94
borD,798
brnQ,248
bsmA,9
bssR,1
bssS,104
btuB,126
btuC,25
btuD,27
btuE,30
btuF,36
btuR,25
cadA,1
cadB,1
cadC,2
caiA,10
caiB,4
caiC,4
caiD,2
caiE,2
caiF,5
caiT,1
can,370
carA,33
carB,28
casA,1
casB,2
casC,2
casD,4
casE,5
cbl,1
cbpA,22
cbpM,29
cbrA,3
cbrB,7
cbrC,1
cca,42
ccmA,1
ccmB,1
ccmC,21
ccmD,2
ccmE,20
ccmF,16
ccmG,1
ccmH,15
cdaR,6
cdd,16
cdh,40
cdsA,213
cedA,3
cfa,67
chaA,45
chaB,3
chaC,1
chbA,7
chbB,1
chbC,6
chbF,2
chbG,8
chbR,4
cheA,2
cheB,1
cheR,0
cheW,4
cheY,2
cheZ,3
chiA,10
chiP,3
chiQ,5
cho,7
chpB,30
chpS,2
cirA,8
citC,0
citD,0
citE,0
citF,1
citG,0
citT,2
citX,0
clcA,27
clcB,5
cld,412
clpA,108
clpB,230
clpP,385
clpS,80
clpX,479
cls,46
cmk,420
cmoA,104
cmoB,101
cmtA,1
cmtB,0
cnu,39
coaA,66
coaD,88
coaE,80
cobB,49
cobC,22
cobS,33
cobT,26
cobU,24
codA,71
codB,56
cof,12
cohE,67
copA,17
corA,171
cpdA,142
cpdB,20
cpsB,1
cpsG,1
cpxA,76
cpxP,79
cpxR,151
crcB,34
creA,70
creB,45
creC,13
creD,3
crl,314
croE,1
crp,517
crr,1320
csdA,44
csdE,48
csdL,110
csgA,3
csgB,0
csgC,1
csgD,2
csgE,1
csgF,1
csgG,6
csiD,1
csiE,4
csiR,1
cspA,1592
cspB,1
cspC,2502
cspD,77
cspE,6951
cspF,1
cspG,1
cspH,3
cspI,1
csrA,767
csrD,28
cstA,16
cueO,21
cueR,23
cusA,2
cusB,3
cusC,0
cusF,2
cusR,24
cusS,10
cutA,35
cutC,33
cvpA,147
cvrA,13
cyaA,152
cyaY,138
cybB,67
cycA,105
cydA,179
cydB,181
cydC,51
cydD,51
cynR,11
cynS,5
cynT,2
cynX,4
cyoA,1841
cyoB,1622
cyoC,1616
cyoD,1737
cyoE,1495
cysA,3
cysB,49
cysC,3
cysD,2
cysE,93
cysG,52
cysH,3
cysI,4
cysJ,2
cysK,97
cysM,24
cysN,4
cysP,2
cysQ,46
cysS,193
cysU,2
cysW,2
cysZ,41
cytR,55
dacA,207
dacB,36
dacC,32
dacD,7
dadA,112
dadX,79
dam,152
damX,355
dapA,350
dapB,94
dapD,366
dapE,90
dapF,182
dbpA,17
dcd,182
dcm,34
dcp,39
dcrB,249
dctA,66
dctR,0
dcuA,162
dcuB,4
dcuC,2
dcuD,1
dcuR,22
dcuS,30
dcyD,32
ddlA,165
ddlB,136
ddpA,0
ddpB,1
ddpC,1
ddpD,1
ddpF,1
ddpX,0
deaD,481
dedA,97
dedD,119
def,278
degP,65
degQ,30
degS,48
deoA,28
deoB,140
deoC,40
deoD,348
deoR,40
der,189
dfp,134
dgkA,81
dgoA,1
dgoD,3
dgoK,6
dgoR,14
dgoT,2
dgsA,32
dgt,13
dhaK,30
dhaL,36
dhaM,33
dhaR,10
diaA,90
dicA,45
dicB,2
dicC,1
dinB,12
dinD,4
dinF,34
dinG,15
dinI,147
dinJ,50
dinQ,636
djlA,63
djlB,0
djlC,3
dkgA,6
dkgB,23
dksA,707
dld,23
dmlA,3
dmlR,3
dmsA,3
dmsB,4
dmsC,5
dmsD,32
dnaA,185
dnaB,147
dnaC,51
dnaE,130
dnaG,247
dnaJ,416
dnaK,1504
dnaN,193
dnaQ,64
dnaT,45
dnaXgamma,106
dnaXtau,106
dosC,2
dosP,1
dpiA,1
dpiB,6
dppA,124
dppB,56
dppC,55
dppD,55
dppF,45
dps,54
dsbA,364
dsbB,157
dsbC,88
dsbD,35
dsbG,17
dsdA,15
dsdC,10
dsdX,4
dsrB,76
dtd,66
dtpA,348
dtpB,8
dtpD,6
dusA,70
dusB,1170
dusC,37
dut,325
dxr,84
dxs,97
eamA,16
eamB,9
ebgA,2
ebgC,2
ebgR,19
ecnA,146
ecnB,157
eco,33
ecpD,0
eda,298
edd,37
efeB,19
efeO,31
efp,1506
elaA,19
elaB,27
elaD,0
elbB,98
elfA,3
elfC,1
elfD,0
elfG,2
emrA,72
emrB,58
emrD,40
emrE,48
emrK,1
emrY,1
emtA,103
endA,1
eno,1708
entA,4
entB,5
entC,2
entD,2
entE,3
entF,3
entH,4
entS,7
envC,112
envR,1
envY,0
envZ,48
epd,207
eptA,32
eptB,17
era,265
erfK,13
erpA,618
essD,4
essQ,1
etk,9
etp,7
eutA,1
eutB,15
eutC,14
eutD,1
eutE,1
eutG,0
eutH,1
eutJ,1
eutK,17
eutL,15
eutM,3
eutN,0
eutP,0
eutQ,1
eutR,6
eutS,0
eutT,1
evgA,37
evgS,5
exbB,132
exbD,133
exoX,26
exuR,66
exuT,4
fabA,869
fabB,816
fabD,859
fabF,1523
fabG,1714
fabH,721
fabI,1196
fabR,127
fabZ,773
fadA,3
fadB,2
fadD,49
fadE,6
fadH,1
fadI,3
fadJ,4
fadK,1
fadL,313
fadM,3
fadR,73
fbaA,887
fbaB,6
fbp,267
fcl,1
fdhD,44
fdhE,121
fdhF,10
fdnG,3
fdnH,3
fdnI,6
fdoG,137
fdoH,67
fdoI,93
