Gene	T389pH67_1	T401pH67_2	T455pH67_3	T642pH61_1	T665pH61_2	T672pH61_3	T652pH565_1	T671pH565_2	T699pH565_3	T723pH565_4
Fisuc_0001	109.2919	141.0532	127.0072	92.7957	76.4089	72.6009	64.0415	69.5461	58.4409	67.4595
Fisuc_0002	277.7300	367.5147	224.8028	174.2749	163.1037	216.0741	182.1507	205.1896	176.4049	155.0630
Fisuc_0003	51.4315	20.7051	76.2043	45.2662	42.6127	31.1147	15.2230	11.4952	17.3158	20.6126
Fisuc_0004	83.5762	28.4694	106.6861	88.2691	60.2455	50.1292	27.8213	40.2333	41.1251	47.3153
Fisuc_0005	61.7178	24.5872	77.4744	65.6360	55.8373	46.6720	23.0969	27.5885	33.5494	42.6306
Fisuc_0006	96.4340	53.0567	118.1167	86.0058	138.1238	110.6300	66.1412	77.5927	82.7912	92.2883
Fisuc_0007	7.7147	5.1763	6.3504	4.5266	8.8164	6.9144	15.2230	12.0700	15.6925	15.4595
Fisuc_0008	41.1452	51.7626	52.0730	33.9497	51.4291	53.5864	43.5692	37.3595	42.7484	37.0090
Fisuc_0009	416.5950	329.9868	387.3721	543.1945	489.3110	425.2339	467.1878	415.5520	464.2803	457.6936
Fisuc_0010	52.7173	32.3516	36.8321	27.1597	32.3269	38.0290	28.3462	21.2661	24.8915	27.6396
Fisuc_0011	46.2883	42.7042	30.4817	45.2662	22.0410	31.1147	12.0734	17.2428	19.4803	22.0180
Fisuc_0012	70.7183	55.6448	106.6861	106.3756	88.1641	84.7011	65.0913	78.1675	82.2501	79.1712
Fisuc_0013	33.4305	36.2338	39.3722	22.6331	7.3470	24.2003	25.7216	28.7380	36.2550	24.8288
Fisuc_0014	168.4381	190.2277	142.2481	228.5943	174.8589	250.6460	160.1037	204.6148	163.9591	267.9639
Fisuc_0015	97.7198	97.0549	116.8467	95.0590	104.3276	105.4442	108.1356	135.6435	129.8686	93.2252
Fisuc_0016	226.2985	407.6307	151.1386	255.7541	224.8186	247.1888	368.5009	297.7261	298.1567	328.8648
Fisuc_0017	38.5736	20.7051	54.6131	92.7957	88.1641	81.2439	47.2437	32.7614	38.9606	46.8468
Fisuc_0018	41.1452	19.4110	44.4525	29.4230	32.3269	31.1147	21.5221	25.2895	25.4326	25.7658
Fisuc_0019	93.8624	84.1143	121.9270	165.2217	191.0223	171.1307	130.1827	133.9193	155.8423	168.6486
Fisuc_0020	10.2863	14.2347	11.4307	11.3166	7.3470	6.9144	9.9737	12.6447	8.6579	8.4324
Fisuc_0021	21.8584	23.2932	24.1314	22.6331	19.1022	29.3861	23.0969	23.5652	17.3158	19.6757
Fisuc_0022	69.4325	53.0567	62.2335	74.6892	76.4089	62.2293	95.5373	106.9055	96.3192	98.8468
Fisuc_0023	73.2899	131.9947	100.3357	129.0087	111.6746	108.9014	158.0040	169.5544	159.0890	148.0360
Fisuc_0024	96.4340	99.6431	109.2262	79.2159	79.3477	89.8868	45.6689	50.0042	48.1596	57.6216
Fisuc_0025	16.7152	11.6466	8.8905	15.8432	13.2246	5.1858	20.9972	20.6914	20.0214	27.1712
Fisuc_0026	95.1482	86.7024	82.5547	54.3194	66.1231	53.5864	61.4168	56.3266	57.8998	60.4324
Fisuc_0027	25.7157	24.5872	41.9124	15.8432	27.9186	29.3861	26.2465	18.3923	27.5971	18.7387
Fisuc_0028	23.1442	15.5288	17.7810	43.0029	20.5716	20.7431	32.5457	31.6118	31.3849	36.5405
Fisuc_0029	66.8609	97.0549	82.5547	99.5857	99.9194	110.6300	156.9541	250.5957	233.2224	204.2522
Fisuc_0030	38.5736	67.2914	54.6131	61.1094	47.0209	74.3295	106.0359	164.9563	151.5134	146.1621
Fisuc_0031	9.0005	7.7644	7.6204	0.0000	14.6940	3.4572	18.3726	21.2661	27.5971	15.9279
Fisuc_0032	10.2863	16.8229	15.2409	0.0000	4.4082	8.6430	17.3227	25.2895	34.6316	24.8288
Fisuc_0033	183.8675	226.4615	161.2992	72.4259	63.1843	88.1582	55.1177	59.7751	52.4886	29.0450
Fisuc_0034	1.2858	0.0000	0.0000	0.0000	0.0000	0.0000	23.0969	21.8409	17.8569	26.2342
Fisuc_0035	39.8594	19.4110	27.9416	6.7899	5.8776	12.1002	30.9709	32.7614	34.6316	22.0180
Fisuc_0036	109.2919	104.8193	129.5474	74.6892	67.5925	65.6865	92.3877	96.5598	90.9080	85.7297
Fisuc_0037	5.1431	5.1763	1.2701	4.5266	4.4082	3.4572	14.1731	14.9438	21.1036	18.2703
Fisuc_0038	64.2893	97.0549	72.3941	79.2159	63.1843	53.5864	89.7630	74.1441	89.8258	78.2342
Fisuc_0039	33.4305	36.2338	16.5109	47.5295	41.1433	27.6575	59.8420	55.7518	52.4886	52.4685
Fisuc_0040	16.7152	31.0576	27.9416	31.6863	26.4492	27.6575	26.2465	29.3128	20.0214	25.7658
Fisuc_0041	25.7157	53.0567	33.0219	18.1065	35.2657	22.4717	44.6191	48.8547	38.9606	34.6667
Fisuc_0042	113.1493	192.8158	142.2481	74.6892	89.6335	63.9579	85.0387	93.6860	88.2024	83.8558
Fisuc_0043	244.2995	341.6333	257.8247	208.2246	180.7365	224.7171	160.1037	199.4420	193.7207	148.9730
Fisuc_0044	18.0010	16.8229	15.2409	15.8432	11.7552	15.5573	17.3227	13.2195	10.8224	12.6486
Fisuc_0045	21.8584	31.0576	13.9708	22.6331	26.4492	24.2003	21.5221	12.0700	20.0214	19.6757
Fisuc_0046	36.0020	24.5872	26.6715	27.1597	38.2045	32.8433	28.8712	26.4390	30.8438	33.7297
Fisuc_0047	7.7147	14.2347	3.8102	11.3166	1.4694	3.4572	21.5221	14.3690	18.9392	22.9550
Fisuc_0048	55.2888	58.2330	50.8029	49.7928	39.6739	32.8433	54.0678	51.1537	45.4540	59.9640
Fisuc_0049	14.1437	32.3516	11.4307	29.4230	47.0209	32.8433	76.6398	78.7422	73.0511	144.2883
Fisuc_0050	208.2975	177.2870	273.0656	185.5915	163.1037	190.1452	153.8045	160.3583	139.6088	167.2432
Fisuc_0051	128.5787	51.7626	111.7664	110.9022	77.8783	105.4442	312.3334	547.7470	409.0861	431.4594
Fisuc_0052	252.0142	212.2268	367.0509	255.7541	204.2469	184.9594	335.4303	470.1543	446.4233	372.4324
Fisuc_0053	226.2985	234.2259	186.7006	108.6389	146.9402	119.2729	72.4403	91.9617	71.9689	73.0811
Fisuc_0054	55.2888	56.9389	24.1314	31.6863	39.6739	48.4006	28.8712	17.2428	15.6925	19.2072
Fisuc_0055	5.1431	7.7644	6.3504	20.3698	8.8164	8.6430	8.3989	6.8971	10.2813	8.9009
Fisuc_0056	84.8619	80.2321	121.9270	174.2749	148.4096	136.5588	155.9042	139.0921	162.3358	165.3694
Fisuc_0057	95.1482	65.9974	111.7664	95.0590	82.2865	77.7867	57.7423	60.9246	65.4754	68.3964
Fisuc_0058	228.8701	239.4022	337.8393	364.3930	392.3304	385.4762	261.4152	243.1238	251.0793	273.1171
Fisuc_0059	282.8731	305.3995	257.8247	416.4491	333.5543	363.0045	384.7737	400.0335	334.4117	339.1711
Fisuc_0060	48.8599	31.0576	30.4817	36.2130	26.4492	25.9289	141.7311	125.8726	73.0511	69.3333
Fisuc_0061	1501.7991	1391.1206	839.5179	590.7240	645.0676	788.2384	2153.2631	1676.5772	1054.1002	971.1350
Fisuc_0062	367.7351	401.1604	369.5911	420.9757	443.7595	371.6475	300.2600	295.4270	311.1435	301.6937
Fisuc_0063	1110.9199	967.9611	1345.0067	984.5400	1124.0928	1097.6565	660.3620	723.0491	727.2642	539.2071
Fisuc_0064	131.1503	197.9921	128.2773	72.4259	96.9806	133.1017	112.3350	117.2512	104.9771	127.4234
Fisuc_0065	154.2944	266.5775	130.8175	97.3223	117.5522	124.4587	70.3406	74.7189	86.5791	66.5225
Fisuc_0066	642.8935	724.6768	419.1239	1256.1373	1074.1331	746.7522	403.6712	286.8056	356.0564	383.2072
Fisuc_0067	304.7315	419.2773	267.9853	203.6979	198.3693	217.8027	166.9278	175.3020	154.7601	122.7387
Fisuc_0068	63.0036	63.4092	44.4525	38.4763	38.2045	44.9434	28.3462	35.0604	25.9737	32.7928
Fisuc_0069	567.0320	608.2109	871.2697	712.9428	680.3333	750.2093	1690.7997	1918.5515	1904.7396	1350.1260
Fisuc_0070	147.8655	191.5217	219.7225	219.5411	211.5939	281.7607	303.9345	262.6657	353.8920	283.4234
Fisuc_0071	1.2858	1.2941	0.0000	0.0000	1.4694	1.7286	10.4986	4.0233	7.5757	10.7748
Fisuc_0072	20.5726	18.1169	20.3212	13.5799	24.9798	22.4717	85.0387	78.1675	64.3932	60.4324
Fisuc_0073	56.5746	55.6448	95.2554	104.1123	89.6335	91.6154	76.6398	97.7093	89.2847	84.3243
Fisuc_0074	7.7147	6.4703	11.4307	15.8432	16.1634	13.8287	18.8975	16.0933	15.6925	17.8018
