Gene,T389pH67_1
Fisuc_0001,109.2919
Fisuc_0002,277.7300
Fisuc_0003,51.4315
Fisuc_0004,83.5762
Fisuc_0005,61.7178
Fisuc_0006,96.4340
Fisuc_0007,7.7147
Fisuc_0008,41.1452
Fisuc_0009,416.5950
Fisuc_0010,52.7173
Fisuc_0011,46.2883
Fisuc_0012,70.7183
Fisuc_0013,33.4305
Fisuc_0014,168.4381
Fisuc_0015,97.7198
Fisuc_0016,226.2985
Fisuc_0017,38.5736
Fisuc_0018,41.1452
Fisuc_0019,93.8624
Fisuc_0020,10.2863
Fisuc_0021,21.8584
Fisuc_0022,69.4325
Fisuc_0023,73.2899
Fisuc_0024,96.4340
Fisuc_0025,16.7152
Fisuc_0026,95.1482
Fisuc_0027,25.7157
Fisuc_0028,23.1442
Fisuc_0029,66.8609
Fisuc_0030,38.5736
Fisuc_0031,9.0005
Fisuc_0032,10.2863
Fisuc_0033,183.8675
Fisuc_0034,1.2858
Fisuc_0035,39.8594
Fisuc_0036,109.2919
Fisuc_0037,5.1431
Fisuc_0038,64.2893
Fisuc_0039,33.4305
Fisuc_0040,16.7152
Fisuc_0041,25.7157
Fisuc_0042,113.1493
Fisuc_0043,244.2995
Fisuc_0044,18.0010
Fisuc_0045,21.8584
Fisuc_0046,36.0020
Fisuc_0047,7.7147
Fisuc_0048,55.2888
Fisuc_0049,14.1437
Fisuc_0050,208.2975
Fisuc_0051,128.5787
Fisuc_0052,252.0142
Fisuc_0053,226.2985
Fisuc_0054,55.2888
Fisuc_0055,5.1431
Fisuc_0056,84.8619
Fisuc_0057,95.1482
Fisuc_0058,228.8701
Fisuc_0059,282.8731
Fisuc_0060,48.8599
Fisuc_0061,1501.7991
Fisuc_0062,367.7351
Fisuc_0063,1110.9199
Fisuc_0064,131.1503
Fisuc_0065,154.2944
Fisuc_0066,642.8935
Fisuc_0067,304.7315
Fisuc_0068,63.0036
Fisuc_0069,567.0320
Fisuc_0070,147.8655
Fisuc_0071,1.2858
Fisuc_0072,20.5726
Fisuc_0073,56.5746
Fisuc_0074,7.7147
Fisuc_0075,6.4289
Fisuc_0076,60.4320
Fisuc_0077,54.0031
Fisuc_0078,64.2893
Fisuc_0079,145.2939
Fisuc_0080,235.2990
Fisuc_0081,177.4386
Fisuc_0082,111.8635
Fisuc_0083,30.8589
Fisuc_0084,39.8594
Fisuc_0085,12.8579
Fisuc_0086,55.2888
Fisuc_0087,0.0000
Fisuc_0088,10.2863
Fisuc_0089,25.7157
Fisuc_0090,14.1437
Fisuc_0091,14.1437
Fisuc_0092,32.1447
Fisuc_0093,78.4330
Fisuc_0094,16.7152
Fisuc_0095,162.0092
Fisuc_0096,921.9092
Fisuc_0097,55.2888
Fisuc_0098,48.8599
Fisuc_0099,70.7183
Fisuc_0100,223.7269
Fisuc_0101,14.1437
Fisuc_0102,2489.2835
Fisuc_0103,42.4310
Fisuc_0104,6.4289
Fisuc_0105,115.7208
Fisuc_0106,41.1452
Fisuc_0107,57.8604
Fisuc_0108,135.0076
Fisuc_0109,27.0015
Fisuc_0110,63.0036
Fisuc_0111,118.2924
Fisuc_0112,93.8624
Fisuc_0113,142.7224
Fisuc_0114,82.2904
Fisuc_0115,155.5802
Fisuc_0116,39.8594
Fisuc_0117,57.8604
Fisuc_0118,64.2893
Fisuc_0119,15.4294
Fisuc_0120,105.4345
Fisuc_0121,10.2863
Fisuc_0122,59.1462
Fisuc_0123,276.4442
Fisuc_0124,6.4289
Fisuc_0125,50.1457
Fisuc_0127,108.0061
Fisuc_0128,282.8731
Fisuc_0129,196.7254
Fisuc_0130,82.2904
Fisuc_0131,343.3051
Fisuc_0132,167.1523
Fisuc_0133,92.5767
Fisuc_0134,131.1503
Fisuc_0135,146.5797
Fisuc_0136,43.7168
Fisuc_0137,682.7529
Fisuc_0138,430.7386
Fisuc_0139,39.8594
Fisuc_0140,379.3071
Fisuc_0141,23.1442
Fisuc_0142,2.5716
Fisuc_0143,21.8584
Fisuc_0144,20.5726
Fisuc_0146,7.7147
Fisuc_0147,27.0015
Fisuc_0150,2.5716
Fisuc_0151,3.8574
Fisuc_0152,1.2858
Fisuc_0154,7.7147
Fisuc_0158,18.0010
Fisuc_0159,15.4294
Fisuc_0160,2.5716
Fisuc_0161,106.7203
Fisuc_0162,70.7183
Fisuc_0163,6.4289
Fisuc_0165,43.7168
Fisuc_0166,9.0005
Fisuc_0167,3.8574
Fisuc_0168,1.2858
Fisuc_0169,6.4289
Fisuc_0170,97.7198
Fisuc_0171,222.4411
Fisuc_0172,225.0127
Fisuc_0173,51.4315
Fisuc_0174,601.7483
Fisuc_0175,150.4371
Fisuc_0176,32.1447
Fisuc_0177,18.0010
Fisuc_0178,532.3158
Fisuc_0179,340.7335
Fisuc_0180,108.0061
Fisuc_0181,86.1477
Fisuc_0182,88.7193
Fisuc_0183,127.2929
Fisuc_0185,145.2939
Fisuc_0186,86.1477
Fisuc_0187,21.8584
Fisuc_0188,86.1477
Fisuc_0189,36.0020
Fisuc_0190,51.4315
Fisuc_0191,357.4488
Fisuc_0192,187.7249
Fisuc_0193,91.2909
Fisuc_0194,19.2868
Fisuc_0195,30.8589
Fisuc_0196,88.7193
Fisuc_0197,51.4315
Fisuc_0198,131.1503
Fisuc_0199,38.5736
Fisuc_0200,90.0051
Fisuc_0201,159.4376
Fisuc_0202,957.9113
Fisuc_0203,173.5812
Fisuc_0204,72.0041
Fisuc_0205,914.1945
Fisuc_0207,195.4396
Fisuc_0208,78.4330
Fisuc_0209,151.7229
Fisuc_0210,3.8574
Fisuc_0211,453.8828
Fisuc_0212,64.2893
Fisuc_0213,149.1513
Fisuc_0214,32.1447
Fisuc_0215,127.2929
Fisuc_0216,36.0020
Fisuc_0217,32.1447
Fisuc_0218,18.0010
Fisuc_0219,59.1462
Fisuc_0220,626.1782
Fisuc_0221,808.7600
Fisuc_0222,66.8609
Fisuc_0223,16.7152
Fisuc_0224,54.0031
Fisuc_0225,28.2873
Fisuc_0226,59.1462
Fisuc_0227,442.3107
Fisuc_0228,109.2919
Fisuc_0229,41.1452
Fisuc_0230,36.0020
Fisuc_0231,119.5782
Fisuc_0232,36.0020
Fisuc_0233,15.4294
Fisuc_0234,110.5777
Fisuc_0235,210.8691
Fisuc_0236,21.8584
Fisuc_0237,14.1437
Fisuc_0239,33.4305
Fisuc_0240,133.7218
Fisuc_0241,258.4432
Fisuc_0242,167.1523
Fisuc_0243,14.1437
Fisuc_0244,83.5762
Fisuc_0245,538.7447
Fisuc_0246,90.0051
Fisuc_0247,173.5812
Fisuc_0248,732.8986
Fisuc_0249,262.3005
Fisuc_0250,72.0041
Fisuc_0251,165.8665
Fisuc_0252,777.9011
Fisuc_0253,95.1482
Fisuc_0254,77.1472
Fisuc_0255,101.5772
Fisuc_0256,108.0061
Fisuc_0257,194.1538
Fisuc_0258,228.8701
Fisuc_0259,82.2904
Fisuc_0260,74.5756
Fisuc_0261,1.2858
Fisuc_0262,475.7412
Fisuc_0263,848.6194
Fisuc_0264,16.7152
Fisuc_0265,968.1976
Fisuc_0266,360.0203
Fisuc_0268,19.2868
Fisuc_0269,37.2878
Fisuc_0270,27.0015
Fisuc_0271,47.5741
Fisuc_0272,163.2949
Fisuc_0273,37.2878
Fisuc_0275,21.8584
Fisuc_0276,37.2878
Fisuc_0277,32.1447
Fisuc_0279,14.1437
Fisuc_0280,43.7168
Fisuc_0281,9.0005
Fisuc_0282,361.3061
Fisuc_0283,470.5980
Fisuc_0284,29.5731
Fisuc_0285,69.4325
Fisuc_0286,163.2949
Fisuc_0287,68.1467
Fisuc_0288,519.4579
Fisuc_0289,105.4345
Fisuc_0290,509.1716
Fisuc_0291,20.5726
Fisuc_0292,72.0041
Fisuc_0293,30.8589
Fisuc_0294,38.5736
Fisuc_0295,24.4300
Fisuc_0296,640.3219
Fisuc_0297,36.0020
Fisuc_0298,216.0122
Fisuc_0299,317.5894
Fisuc_0300,57.8604
Fisuc_0301,104.1487
Fisuc_0302,34.7162
Fisuc_0303,146.5797
Fisuc_0305,236.5848
Fisuc_0306,9.0005
Fisuc_0307,150.4371
Fisuc_0308,528.4584
Fisuc_0309,5.1431
Fisuc_0312,100.2914
Fisuc_0313,729.0412
Fisuc_0314,55.2888
Fisuc_0315,9.0005
Fisuc_0316,28.2873
Fisuc_0317,10.2863
Fisuc_0318,57.8604
Fisuc_0319,25.7157
Fisuc_0320,28.2873
Fisuc_0321,64.2893
Fisuc_0322,55.2888
Fisuc_0323,61.7178
Fisuc_0324,48.8599
Fisuc_0326,25.7157
Fisuc_0327,12.8579
Fisuc_0328,118.2924
Fisuc_0329,15.4294
Fisuc_0330,86.1477
Fisuc_0331,3208.0384
Fisuc_0332,55.2888
Fisuc_0333,560.6031
Fisuc_0334,38.5736
Fisuc_0335,2.5716
Fisuc_0336,128.5787
Fisuc_0337,54.0031
Fisuc_0338,212.1548
Fisuc_0339,74.5756
Fisuc_0341,223.7269
Fisuc_0343,0.0000
Fisuc_0344,334.3046
Fisuc_0345,203.1543
Fisuc_0346,200.5828
Fisuc_0347,59.1462
Fisuc_0348,47.5741
Fisuc_0349,156.8660
Fisuc_0350,93.8624
Fisuc_0351,56.5746
Fisuc_0352,55.2888
Fisuc_0353,24.4300
Fisuc_0354,36.0020
Fisuc_0355,273.8726
Fisuc_0356,997.7707
Fisuc_0357,109.2919
Fisuc_0358,194.1538
Fisuc_0359,16.7152
Fisuc_0360,621.0351
Fisuc_0361,596.6051
Fisuc_0362,389.5934
Fisuc_0363,320.1609
Fisuc_0364,151.7229
Fisuc_0365,46.2883
Fisuc_0366,3.8574
Fisuc_0367,25.7157
Fisuc_0368,104.1487
Fisuc_0369,455.1686
Fisuc_0371,32.1447
Fisuc_0372,190.2965
Fisuc_0373,129.8645
Fisuc_0374,478.3127
Fisuc_0375,37.2878
Fisuc_0376,82.2904
Fisuc_0377,1401.5078
Fisuc_0378,84.8619
Fisuc_0379,3.8574
Fisuc_0381,700.7539
Fisuc_0382,1040.2016
Fisuc_0383,41.1452
Fisuc_0384,14.1437
Fisuc_0385,1.2858
Fisuc_0386,11.5721
