"Feature ID","RPKM"
MT2010,9.294
MT1012,417.5
MT0473,8.813
dnaA,96.483
dnaN,36.799
recF,32.235
MT0004,36.861
gyrB,327.194
gyrA,262.688
MT0007,138.743
MTt01,0.756
MTt02,1.532
MT0009,2.954
MT0010,18.215
ppi-1,159.427
MT0012,109.236
MT0013,67.392
MT0014,74.754
MT0015,55.872
MT0016,83.227
MT0017,94.827
MT0018,155.514
MT0019,116.191
ftsW-1,81.692
MT0021,124.467
MT0022,149.317
MT0023,350.666
MTt03,33.18
MT0024,30.409
MT0025,9.988
MT0026,65.182
MT0027,71.932
MT0028,60.58
MT0029,19.93
MT0030,17.58
MT0030.1,28.095
MT0031,38.822
MT0032,10.46
MT0033,8.356
MT0034,16.411
MT0035,18.318
MT0036,9.931
MT0037,10.636
acp-1,8.162
MT0039,10.441
MT0040,19.239
MT0041,55.224
MT0042,30.906
MT0043,110.156
MT0044,62.584
mtc28,180.693
leuS,21.152
MT0048,14.117
MT0049,13.944
MT0050,14.357
MT0051,109.196
MT0052,942.657
MT0053,563.998
MT0054,17.872
MT0055,123.36
ponA,118.382
MT0057,39.427
MT0058,30.803
rpsF,42.425
ssb,60.587
rpsR (NC_002755 59065..59320),60.061
rplI,78.406
MT0063,62.138
dnaB,85.587
MT0065,40.083
MT0066,87.488
MT0066.1,144.591
MT0066.2,93.775
celA,26.493
mitR,38.135
MT0069,48.169
MT0070,68.553
MT0071,45.051
icd-1,43.09
MT0073,17.879
MT0074,17.623
sdaA,11.638
glyA (NC_002755 77599..78877),8.566
MT0077,6.173
MT0078,41.374
MT0079,45.567
MT0080,30.954
MT0081,25.418
MT0082,18.665
MT0083,29.219
MT0084,9.129
MT0085,56.175
MT0085.1,170.053
MT0086,47.111
MT0087,30.383
MT0088,21.099
MT0089,36.639
MT0090,15.384
hycD,28.413
hyfE,23.891
MT0093,32.193
hycE,8.692
MT0096,63.151
MT0098,11.274
MT0099,5.061
MT0099.1,3.287
MT0100,10.616
MT0101,23.13
MT0102,18.725
MT0103,27.162
MT0104,7.323
MT0105,3.389
MT0106,11.446
MT0107,10.55
MT0108,12.522
MT0109,13.76
MT0110,21.436
MT0111,39.995
MT0112,29.697
MT0113,12.262
rpmB (NC_002755 123969..124254),1.839
MT0115,24.811
MT0116,47.597
MT0116.1,39.285
MT0117,164.011
MT0118,8.688
