Gene ID	Gene Name	Value 1	Value 2	log2 (fold change)	Test Statistics	p value	q value
gene0	dnaA	3.83819	3.46219	-0.148738	0	1	1
gene1	dnaN	3.3902	2.82177	-0.264768	0	1	1
gene10	PA0011	4.61414	3.97682	-0.214447	0	1	1
gene100	PA0099	29.7865	4.74403	-2.65048	-3.77489	5e-05	0.000698837
gene1000	PA0981	13.8544	20.5976	0.572133	0.802954	0.1636	0.326881
gene1001	PA0982	1.13871	2.69307	1.24186	0	1	1
gene1002	PA0983	0	2.02531	inf	0	1	1
gene1003	PA0984	0	0	0	0	1	1
gene1004	pyoS5	52.8453	17.5083	-1.59374	-3.17122	5e-05	0.000698837
gene1005	PA0986	0	0	0	0	1	1
gene1006	PA0987	0	0.582426	inf	0	1	1
gene1007	PA0988	3.62096	2.92551	-0.307683	0	1	1
gene1008	PA0989	0	3.20293	inf	0	1	1
gene1009	PA0990	0	0.523	inf	0	1	1
gene101	PA0100	6.85444	2.62864	-1.38272	0	1	1
gene1010	cupC1	0.965732	1.39629	0.531905	0	1	1
gene1011	cupC2	0	0	0	0	1	1
gene1012	cupC3	0.561284	2.01603	1.84471	0	1	1
gene1013	ogt	2.02116	2.62109	0.374984	0	1	1
gene1014	pqsA	2.27924	0.341491	-2.73863	0	1	1
gene1015	pqsB	3.85891	0	-inf	0	1	1
gene1016	pqsC	0.795456	0	-inf	0	1	1
gene1017	pqsD	0.695514	0.526567	-0.401462	0	1	1
gene1018	pqsE	0.836713	0.330792	-1.33881	0	1	1
gene1019	phnA	7.59189	0.378052	-4.3278	-1.68311	0.18055	0.345575
gene102	PA0101	0.169155	0	-inf	0	1	1
gene1020	phnB	0.413831	0	-inf	0	1	1
gene1021	mvfR	1.9879	2.07334	0.0607119	0	1	1
gene1022	nadA	3.12807	1.37269	-1.18827	0	1	1
gene1023	PA1005	1.68764	2.3907	0.502425	0	1	1
gene1024	PA1006	0	0	0	0	1	1
gene1025	PA1007	1.21964	1.88711	0.629728	0	1	1
gene1026	bcp	0	1.29871	inf	0	1	1
gene1027	PA1009	0	1.82966	inf	0	1	1
gene1028	dapA	2.28371	0.878717	-1.37791	0	1	1
gene1029	PA1011	8.34142	8.68032	0.0574563	0.0849052	0.8803	0.928176
gene103	PA0102	0.322724	0.795652	1.30184	0	1	1
gene1030	PA1012	0.569081	1.33288	1.22784	0	1	1
gene1031	purC	6.54534	2.88098	-1.18391	0	1	1
gene1032	PA1013.1	0	0	0	0	1	1
gene1033	PA1014	2.50703	3.39171	0.436031	0	1	1
gene1034	PA1015	0.286625	0	-inf	0	1	1
gene1035	PA1016	0.257606	0.633072	1.2972	0	1	1
gene1036	pauA	0.260734	0.0748279	-1.80093	0	1	1
gene1037	PA1018	0.363137	0.562177	0.630513	0	1	1
gene1038	mucK	0	0.648531	inf	0	1	1
gene1039	PA1019a	0	0	0	0	1	1
gene104	PA0103	0	0.164548	inf	0	1	1
gene1040	PA1020	0.19305	0.15707	-0.297569	0	1	1
gene1041	PA1021	0	0.500805	inf	0	1	1
gene1042	PA1022	1.84447	1.43772	-0.359422	0	1	1
gene1043	PA1023	0	0.325414	inf	0	1	1
gene1044	PA1024	0	0.297594	inf	0	1	1
gene1045	PA1025	0.168691	0.36124	1.09857	0	1	1
gene1046	PA1026	0	0.481389	inf	0	1	1
gene1047	PA1027	0	0	0	0	1	1
gene1048	PA1028	0.163315	0	-inf	0	1	1
