Gene Name,Value 1
dnaA,3.83819
dnaN,3.3902
PA0011,4.61414
PA0099,29.7865
PA0981,13.8544
PA0982,1.13871
PA0983,0
PA0984,0
pyoS5,52.8453
PA0986,0
PA0987,0
PA0988,3.62096
PA0989,0
PA0990,0
PA0100,6.85444
cupC1,0.965732
cupC2,0
cupC3,0.561284
ogt,2.02116
pqsA,2.27924
pqsB,3.85891
pqsC,0.795456
pqsD,0.695514
pqsE,0.836713
phnA,7.59189
PA0101,0.169155
phnB,0.413831
mvfR,1.9879
nadA,3.12807
PA1005,1.68764
PA1006,0
PA1007,1.21964
bcp,0
PA1009,0
dapA,2.28371
PA1011,8.34142
PA0102,0.322724
PA1012,0.569081
purC,6.54534
PA1013.1,0
PA1014,2.50703
PA1015,0.286625
PA1016,0.257606
pauA,0.260734
PA1018,0.363137
mucK,0
PA1019a,0
PA0103,0
PA1020,0.19305
PA1021,0
PA1022,1.84447
PA1023,0
PA1024,0
PA1025,0.168691
PA1026,0
PA1027,0
PA1028,0.163315
PA0103a,3.63327
PA1030,0.880199
PA1030.1,0
PA1031,0.432666
quiP,0.106476
PA1033,0.536606
PA1034,0
PA1035,3.37423
PA1036,0.45673
PA1037,0
PA1038,1.11951
coxB,0.455555
PA1039,0
PA1040,0
PA1041,0
PA1042,0
PA1043,0
PA1044,0
PA1045,0.632404
PA1046,0.120148
PA1047,0.831972
PA1048,1.11924
coxA,0
pdxH,0.703151
PA1050,0
PA1051,0.280228
PA1052,0
PA1052a,0
PA1053,41.8306
PA1054,0.723482
PA1055,6.45297
PA1056,0.440501
PA1057,1.21419
PA0107,0.463589
PA1058,15.0149
PA1059,0.952686
PA1060,0.454341
PA1061,0.272617
PA1062,0
PA1063,0
PA1064,0.677287
PA1065,0.831511
PA1066,0
PA1067,0
coIII,0.718339
PA1068,0
PA1069,7.53594
braG,1.15346
braF,1.58803
braE,0.475775
braD,0.911915
braC,8.8924
PA1075,0
PA1076,3.06551
flgB,7.59959
PA0012,4.90902
PA0109,0
flgC,4.07578
flgD,0.331418
flgE,2.1517
flgF,7.87447
flgG,2.62948
flgH,26.7961
flgI,0
flgJ,2.05714
flgK,2.78464
flgL,4.03797
PA0110,0
PA1088,4.59523
PA1089,1.99748
PA1090,0.681466
fgtA,0.626187
fliC,17.7852
PA1093,0
fliD,13.5333
PA1095,129.204
PA1096,1.89919
fleQ,4.1866
PA0111,0
fleS,0.564411
fleR,2.53753
fliE,2.10389
fliF,0.725917
fliG,1.24128
PA1103,0.794822
fliI,0.869709
fliJ,0
PA1106,0.616762
PA1107,0.423757
PA0112,0.369255
PA1108,0
PA1109,0
PA1110,0
PA1111,0
PA1112,0.258397
PA1112a,7.09164
PA1112.1,5.18896
PA1112b,9.72461
PA1113,0.481261
PA1114,0
PA0113,0.339699
PA1115,0.51083
PA1116,1.02585
PA1117,0
PA1118,0.70058
yfiB,1.27762
tpbB,0.320669
yfiR,2.3002
PA1123,2.20075
dgt,0.250933
senC,8.39964
PA1125,0.434303
PA1126,0
PA1127,0.530147
PA1128,0
PA1129,0
rhlC,0
PA1131,0
PA1132,1.98391
PA1133,0.938603
PA1134,0
PA0115,0.892358
PA1135,0.871925
PA1136,0.771608
PA1137,1.64777
PA1138,0
PA1139,0.372782
PA1140,0.379502
PA1141,0
PA1142,0
PA1143,0
PA1144,0
PA0116,0
PA1145,0.456218
PA1146,0
PA1147,0
toxA,0
PA1149,0
pys2,96.6484
imm2,134.36
PA1153,0
PA1154,0
nrdB,63.8121
PA0117,0
nrdA,11.3256
PA1157,0
PA1158,0.280228
PA1159,6.38411
PA1160,0.806721
rrmA,0
dapE,0
ndvB,0.0752211
PA1164,0
pcpS,0.452991
PA0118,0.4282
PA1166,0
PA1167,0.358451
PA1168,0
PA1169,0.352193
PA1170,0.448171
PA1171,0
napC,0
napB,0.785497
napA,0.53858
napD,0
PA0013,0.694315
PA0119,0.154688
napF,0
napE,0
oprH,40.6783
phoP,2.52935
phoQ,2.26934
PA1181,0.158307
PA1182,0
dctA,2.76511
PA1184,0
PA1185,0
PA0120,0
PA1186,0
PA1187,0.521595
PA1188,0
PA1189,0
PA1190,0
PA1191,1.63864
PA1192,1.68504
PA1193,0
PA1194,0.146229
PA1195,1.12655
PA0121,0
PA1196,0
PA1197,6.16145
PA1198,5.95066
PA1199,1.88021
PA1200,0.729646
PA1201,0
PA1202,0
PA1203,3.57593
PA1204,0
PA1205,0.325266
PA0122,22.2507
PA1206,0
kefB,0.308453
PA1208,0.440501
PA1209,0
PA1210,0.340594
PA1211,0
PA1212,0
PA1213,0.320317
PA1214,0
PA1215,0
PA0123,0.342462
PA1216,0.312873
PA1217,0
PA1218,0.969604
PA1219,0
PA1220,0.16686
PA1221,0.197164
PA1222,0
PA1223,0
PA1224,0
PA1225,0.785472
PA0124,0
PA1226,0
PA1227,0
PA1228,0
PA1229,0
PA1230,0
PA1231,0
PA1232,0.0979951
PA1233,0
PA1234,0
PA1235,0
PA0125,0
PA1236,0
PA1237,0
PA1238,0
PA1239,0
PA1240,0
PA1241,0.45673
PA1242,0
PA1243,0.395526
PA1244,9.23232
PA1245,0
PA0126,0.745833
aprD,0
aprE,0.224026
aprF,0.198191
aprA,1.23585
aprI,0
PA1251,0
PA1252,0
PA1253,0
PA1254,0
PA1255,0
PA0127,0
PA1256,0
PA1257,0.378269
PA1258,0
PA1259,0
PA1260,0
PA1261,0
PA1262,0
PA1263,0.560752
PA1264,0.259969
PA1265,0
PA0128,35.1882
PA1266,0
PA1267,0.267423
PA1268,0.326527
PA1269,0
PA1270,0.448183
PA1271,0.560144
cobO,0
cobB,0
PA1274,0
cobD,0
PA0014,0
gabP,0.725965
cobC,0
cobQ,0.395806
cobP,0
cobU,0.376816
PA1280,0
cobV,0
PA1282,0
PA1283,0
PA1284,0.15314
PA1285,0
PA0130,4.66876
PA1286,0
PA1287,2.19087
PA1288,9.35063
PA1289,0
PA1290,0.422335
PA1291,0
PA1292,0.26444
PA1293,0
rnd,0.190656
PA1295,8.51057
PA0131,0
PA1296,0.475697
PA1297,0
PA1298,0
PA1299,0
PA1300,0
PA1301,0.410432
PA1302,0.529699
PA1303,0
PA1304,0
PA1305,0
PA0132,1.81252
PA1306,0
PA1307,2.63831
PA1308,0
PA1309,0.484228
phnW,0.267423
phnX,0
PA1312,0
PA1313,0
PA1314,0
PA1315,0
PA0133,0.446984
PA1316,0
cyoA,0.219982
cyoB,2.30401
cyoC,0
cyoD,1.01334
cyoE,0
PA1322,0.214955
PA1323,0
PA1324,0
PA1324.1,0
PA0134,0
PA1325,0
ilvA2,0
PA1327,0
PA1328,0
PA1329,0
PA1330,0.71133
PA1331,0
PA1332,0
PA1333,0
PA1334,0
PA0135,0
PA1335,0.228277
PA1336,0.403514
ansB,3.60974
ggt,0.557506
PA1339,1.4899
PA1340,0
PA1341,0
PA1342,39.4284
PA1343,0
PA1344,0
PA0136,0
PA1345,0
PA1346,0
PA1347,0.828641
PA1348,0
PA1349,0
PA1350,0.436554
PA1351,0
PA1352,0
PA1353,3.17616
PA1354,0
PA0137,0
PA1355,0
PA1356,0
PA1357,1.67662
