Feature ID,UK
aadA,168
aas,1008
aat,352
abrB,496
accA,980
accB,1987
accC,2416
accD,1917
aceA,507
aceB,1176
aceE,11150
aceF,6215
aceK,843
ackA,16702
acnA,19522
acnB,5216
acpP,32199
acpS,242
acpT,269
acrA,8790
acrB,11135
acrD,629
acrE,168
acrF,2857
acrR,2572
acs,2474
actP,773
ada,340
add,1507
adhE,20067
adhP,2550
adi,658
adiY,833
adk,2132
adrA,946
aefA,3040
aegA,302
aer,19053
aes,172
agp,3622
ahpC,8061
ahpF,1055
aidB,8692
ais,346
alaS,6663
aldB,17055
alkA,96
alkB,228
allA,494
allB,440
allC,174
allD,224
allP,125
allR,1197
alr,320
amiA,731
amiB,674
amiC,700
amn,2476
ampD,1263
ampE,440
ampG,369
ampH,1053
amtB,120
amyA,2888
anmK,716
ansA,690
ansB,23787
ansP,414
apaG,1018
apaH,2684
apbA,2085
apbE,112
apeE,1638
aphA,3375
apt,524
araA,256
araB,122
araC,1752
araD,177
araE,486
araH,277
araJ,313
arcA,19628
arcB,4449
arcC,29
argA,466
argB,92
argC,393
argD,410
argE,1442
argG,361
argH,515
argI,154
argR,5109
argS,1912
argT,1162
arnT,765
aroA,1135
aroB,3549
aroC,529
aroD,664
aroE,4012
aroF,580
aroG,6696
aroH,1153
aroK,4659
aroL,462
aroM,2885
aroP,927
artI,3470
artJ,967
artM,1204
artP,1912
artQ,1000
asd,1304
asmA,876
asnA,1224
asnB,1262
asnC (NC_011294 1006629..1008030),5076
asnC (NC_011294 3955036..3955495),787
aspA,440993
aspC,2623
aspS,2171
asrA,525
asrB,236
asrC,350
astA,655
astB,843
astC,384
astD,536
astE,311
atpA,7649
atpB,7812
atpC,1576
atpD,9577
atpE,5100
atpF,6351
atpG,5065
atpH,4741
atpI,4171
avrA,2405
avtA,434
b2145,324
bacA,643
baeR,584
baeS,655
barA,2615
basR,1408
basS,1212
bax,2434
bcfA,168
bcfB,85
bcfC,398
bcfD,339
bcfF,117
bcfG,73
bcfH (NC_011294 30243..30975),92
bcfH (NC_011294 31038..31884),106
bcp,3347
bcr,1310
bcsA,2051
bcsB,2109
bcsC,1154
bcsE,4846
bcsF,287
bcsG,1220
bcsZ,681
bfd,337
bfr,54765
bglA,1772
bglJ,128
bglX,1005
bigA,486
bioA,85
bioB,34
bioC,20
bioD,12
bioF,17
bioH,259
birA,2579
bisC,640
blc,2226
bolA,11544
brnQ,979
bssR,14318
bssS,2085
btuB,3553
btuC,166
btuD,636
btuE,1333
btuF,271
btuR,374
cadA,4915
cadB,4159
cadC,3983
cafA,3046
caiA,867
caiB,407
caiC,1087
caiD,244
caiE,582
caiF,9449
caiT,78
carA,237
carB,316
cbiA,3627
cbiB,761
cbiC,896
cbiD,1838
cbiE,478
cbiF,1790
cbiG,3497
cbiH,2687
cbiJ,947
cbiK,1829
cbiL,935
cbiM,2975
cbiN,2273
cbiO,1670
cbiP,1885
cbiT,776
cboQ,2124
cbpA,6814
cca,1548
ccmA,77
ccmB,16
ccmD,1
ccmE,26
ccmF,68
ccmG,27
ccmH,42
cdaR,2114
cdd,322
cdsA,2484
cedA,758
celA,4266
celB,3854
celC,1889
celD,2593
celF,1039
cfa,19265
chaA,429
chaB,695
cheA,28437
cheB,7952
cheR,11028
cheW,12339
cheY,5478
cheZ,5797
cigR,3347
cirA,283
citA,478
citB,75
citC,843
citC2,1522
citD,51
citD2,280
citE,102
citE2,1021
citF,213
citF2,2073
citG,175
citG2,755
citT,680
citX,86
citX2,293
clpA,18604
clpB,68510
clpP,9252
clpS,2533
clpX,20734
cls,1016
cmk,1888
coaA,1135
coaD,458
coaE,592
cobC,437
cobD,813
cobS,645
cobT,652
cobU,536
codB,728
cof,828
copA,1178
copR,562
copS,915
corA,1394
corE,1080
cpdB,4920
cpsG,12
cpxA,983
cpxP,11731
cpxR,1112
crcB,920
creA,2133
creB,466
creC,210
creD,682
crl,2542
crp,14855
crr,43418
csdA,654
csgA,169
csgB,61
csgC,183
csgD,120
csgE,22
csgF,17
csgG,193
csiE,6130
cspA,118889
cspB,2830
cspC,96845
cspD,12177
cspE,135354
csrA,19428
cstA,7153
cueO,765
cueR,1072
cutA,270
cutC,1699
cvpA,1346
cyaA,7987
cyaY,824
cybB,1219
cybC,1307
cycA,3000
cydA,55841
cydB,23897
cydC,612
cydD,1140
cyoA,4323
cyoB,4505
cyoC,2165
cyoD,3746
cyoE,6207
cypD,11315
cysA,113
cysB,2168
cysC,105
cysD,150
cysE,1570
cysG,579
cysH,94
cysI,234
cysJ,168
cysK,2037
cysM,230
cysN,341
cysP,174
cysQ,2009
cysS,3506
cysU,60
cysW,72
cysZ,498
cytR,1647
dacA,2234
dacB,1085
dacC,8035
dacD,1542
dadA,1143
dadX,563
dam,2134
damX,3143
dapA,3350
dapB,573
dapD,2585
dapE,1253
dapF,1354
dbpA,879
dcd,659
dcm,1045
dcoC,2
dcp,966
dctA,28171
dcuA,22267
dcuB,2471
dcuC,414
dcuR,1728
dcuS,1421
ddg,1480
ddl (NC_011294 152296..153217),3545
ddl (NC_011294 412926..414021),3154
deaD,4547
dedA,835
dedD,1270
def,4039
degQ,2100
degS,918
deoA,1546
deoB,4007
deoC,1736
deoD,2583
deoR,1737
dfp,1247
dgkA,1773
dgoA,212
dgoK,154
dgoR,425
dgoT,375
dgt,2182
dinF,868
dinG,1319
dinI,521
dinP,1210
dipZ,602
djlA,1046
dkgA,4794
dkgB,1058
dksA,7875
dld,2369
dlhH,1581
dmsA,23690
dmsA1,2061
dmsA2,1297
dmsA3,1029
dmsB,2266
dmsB1,165
dmsB2,164
dmsC,2359
dmsC1,348
dmsC2,33
dnaA,5716
dnaB,1074
dnaC,1956
dnaE,3319
dnaG,8165
dnaJ,4297
dnaK,63414
dnaN,1884
dnaQ,2554
dnaT,599
dnaX,1407
dpiA,419
dpiB,921
dppA,22929
dppB,832
dppC,307
dppD,775
dppF,500
dps,192399
dsbA,4567
dsbB,567
dsbC,1678
dsbG,931
dsdA,485
dsdC,246
dsdX,187
dut,761
dxr,1086
dxs,3376
ecnB,14268
ecnR,5724
eco,882
eda,422
edd,307
efp,3297
ego,51906
elaA,586
elaB,8784
elaC,419
