"Feature ID"	"Expression values"	"Gene length"	"Unique gene reads"	"Total gene reads"	"RPKM"	"Chromosome region start"	"Chromosome region end"
MT2010	9.294	495	79	79	9.294	2201544	2202038
MT1012	417.5	549	3936	3936	417.5	1100496	1101044
MT0473	8.813	2022	306	306	8.813	549035	551056
dnaA	96.483	1524	2525	2525	96.483	1	1524
dnaN	36.799	1209	764	764	36.799	2052	3260
recF	32.235	1158	641	641	32.235	3280	4437
MT0004	36.861	564	357	357	36.861	4434	4997
gyrB	327.194	2061	11580	11580	327.194	5207	7267
gyrA	262.688	2517	11354	11354	262.688	7302	9818
MT0007	138.743	915	2180	2180	138.743	9914	10828
MTt01	0.756	77	1	1	0.756	10887	10963
MTt02	1.532	76	2	2	1.532	11112	11187
MT0009	2.954	138	7	7	2.954	11555	11692
MT0010	18.215	438	137	137	18.215	11874	12311
ppi-1	159.427	549	1503	1503	159.427	12468	13016
MT0012	109.236	153	287	287	109.236	13024	13176
MT0013	67.392	426	493	493	67.392	13133	13558
MT0014	74.754	282	362	362	74.754	13714	13995
MT0015	55.872	789	757	757	55.872	14089	14877
MT0016	83.227	699	999	999	83.227	14914	15612
MT0017	94.827	1881	3063	3063	94.827	15590	17470
MT0018	155.514	1296	3461	3461	155.514	17467	18762
MT0019	116.191	1476	2945	2945	116.191	18759	20234
ftsW-1	81.692	1410	1978	1978	81.692	20231	21640
MT0021	124.467	1536	3283	3283	124.467	21637	23172
MT0022	149.317	468	1200	1200	149.317	23270	23737
MT0023	350.666	1566	9430	9430	350.666	23861	25426
MTt03	33.18	86	49	49	33.18	25626	25711
MT0024	30.409	969	506	506	30.409	25895	26863
MT0025	9.988	309	53	53	9.988	26975	27283
MT0026	65.182	771	863	863	65.182	27577	28347
MT0027	71.932	846	1045	1045	71.932	28344	29189
MT0028	60.58	273	284	284	60.58	29227	29499
MT0029	19.93	1347	461	461	19.93	29703	31049
MT0030	17.58	318	96	96	17.58	31170	31487
MT0030.1	28.095	228	110	110	28.095	31573	31800
MT0031	38.822	144	96	96	38.822	31805	31948
MT0032	10.46	579	104	104	10.46	32031	32609
MT0033	8.356	453	65	65	8.356	32646	33098
MT0034	16.411	330	93	93	16.411	33168	33497
MT0035	18.318	213	67	67	18.318	33526	33738
MT0036	9.931	258	44	44	9.931	33844	34101
MT0037	10.636	2316	423	423	10.636	34239	36554
acp-1	8.162	264	37	37	8.162	36551	36814
MT0039	10.441	396	71	71	10.441	36811	37206
MT0040	19.239	1689	558	558	19.239	37203	38891
MT0041	55.224	774	734	734	55.224	39000	39773
MT0042	30.906	1302	691	691	30.906	39821	41122
MT0043	110.156	609	1152	1152	110.156	41248	41856
