Name,wildtype-rep1,wildtype-rep2,revR-rep1,revR-rep2,virR-rep1,virR-rep2,Length,Gene,Product,On same fragment,Ambiguous alignment
CPE0001,32,32,53,84,37,37,1374,dnaA,chromosome replication initiator DnaA,1xCPE0002,1xCPE1127
CPE0002,87,112,143,147,255,164,1101,dnaN,DNA polymerase III subunit beta,44xCPE0003 1xCPE0001,
CPE0003,11,30,23,70,22,38,207,,S4 domain protein,44xCPE0002 12xCPE0004,
CPE0004,223,176,128,135,267,150,1086,recF,recombination protein F,87xCPE0005 12xCPE0003,
CPE0005,33,57,16,32,44,39,261,,hypothetical protein,87xCPE0004 3xCPE0006,
CPE0006,61,95,62,131,98,140,1917,gyrB,DNA gyrase subunit B,45xCPE0007 3xCPE0005,
CPE0007,142,217,152,482,258,352,2292,gyrA,DNA gyrase subunit A,317xCPE0008 45xCPE0006,
CPE0008,52,73,58,126,97,131,252,,DNA gyrase subunit A,317xCPE0007,
CPE0009,16,28,22,38,50,38,204,,hypothetical protein,67xCPE0010,
CPE0010,21,33,28,24,34,38,294,,hypothetical protein,67xCPE0009,
CPE0011,49,108,71,109,144,224,2757,,hypothetical protein,,
CPE0012,134,393,220,594,215,349,1395,,hydroxyglutarate oxidase,380xCPE0013,
CPE0013,70,163,108,208,96,159,234,,hypothetical protein,380xCPE0012,
CPE0014,96,158,73,164,97,220,1278,serS,seryl-tRNA synthetase,,
CPE0015,0,2,4,0,5,9,420,,hypothetical protein,,
CPE0016,7,28,11,34,19,44,267,,hypothetical protein,,
CPE0017,3,82,6,100,12,114,183,,hypothetical protein,,1xCPE1340 1xCPE2162 1xCPE1384 1xCPE2201 1xCPE0783 1xCPE2284 1xCPE1880
CPE0018,2,9,9,5,22,33,882,,hypothetical protein,,
CPE0019,407,440,532,884,757,936,165,,hypothetical protein,,
CPE0020,20,30,35,71,38,53,3477,addB,ATP-dependent deoxyribonuclease chain B,12xCPE0021,1xCPE2135 1xCPE1625 1xCPE0747 1xCPE0247 1xCPE1858 1xCPE1484 1xCPE0344 1xCPE2265
