#Replicon Name	Replicon Accession	Start	Stop	Strand	GeneID	Locus	Locus tag	Protein product	Length	Protein name
chr	NC_008261.1	411	1784	+	29569836	-	CPF_RS00010	WP_003451025.1	457	chromosomal replication initiator protein DnaA
chr	NC_008261.1	2079	3179	+	29572676	-	CPF_RS00015	WP_003451044.1	366	DNA polymerase III subunit beta
chr	NC_008261.1	3305	3511	+	29570628	-	CPF_RS00020	WP_003470354.1	68	RNA-binding protein
chr	NC_008261.1	3567	4652	+	29570044	-	CPF_RS00025	WP_003450989.1	361	DNA replication and repair protein RecF
chr	NC_008261.1	4666	4926	+	29571740	-	CPF_RS00030	WP_003451015.1	86	DUF370 domain-containing protein
chr	NC_008261.1	5163	7079	+	29569860	-	CPF_RS00035	WP_003466052.1	638	DNA topoisomerase (ATP-hydrolyzing) subunit B
chr	NC_008261.1	7101	9620	+	29569881	-	CPF_RS00040	WP_003470357.1	839	DNA gyrase subunit A
chr	NC_008261.1	15422	15925	+	29569854	-	CPF_RS00070	WP_011590026.1	167	HD domain-containing protein
chr	NC_008261.1	16274	19030	+	29569855	-	CPF_RS00075	WP_011590027.1	918	membrane protein
chr	NC_008261.1	19273	20667	+	29569838	-	CPF_RS00080	WP_003458179.1	464	FAD/NAD(P)-binding oxidoreductase
chr	NC_008261.1	20680	20913	+	29572378	-	CPF_RS00085	WP_003450903.1	77	DUF1667 domain-containing protein
chr	NC_008261.1	21265	22542	+	29570136	-	CPF_RS00090	WP_011590028.1	425	serine--tRNA ligase
chr	NC_008261.1	22719	23138	+	29571533	-	CPF_RS00095	WP_011590029.1	139	hypothetical protein
chr	NC_008261.1	23755	24021	+	29569879	-	CPF_RS00110	WP_003450912.1	88	hypothetical protein
chr	NC_008261.1	24351	24533	-	29569873	-	CPF_RS00125	WP_003450940.1	60	hypothetical protein
chr	NC_008261.1	24771	25652	+	29572118	-	CPF_RS00130	WP_003450881.1	293	hypothetical protein
chr	NC_008261.1	26114	29590	+	29569849	-	CPF_RS00135	WP_011590030.1	1158	ATP-dependent helicase/deoxyribonuclease subunit B
chr	NC_008261.1	29580	33395	+	29569845	-	CPF_RS00140	WP_011590031.1	1271	ATP-dependent helicase/nuclease subunit A
chr	NC_008261.1	33434	34702	-	29571168	-	CPF_RS00145	WP_041702735.1	422	CCA tRNA nucleotidyltransferase
chr	NC_008261.1	34818	35810	+	29570349	-	CPF_RS00150	WP_003472587.1	330	3\'-5\' exoribonuclease YhaM
chr	NC_008261.1	35842	37002	-	29571946	-	CPF_RS00155	WP_003458221.1	386	murein L,D-transpeptidase
chr	NC_008261.1	37194	38414	+	29569863	-	CPF_RS00160	WP_003474863.1	406	peptidase T
