#Replicon Name	Replicon Accession	Start	Stop	Strand	GeneID	Locus	Locus tag	Protein product	Length	Protein name
chr	NC_017448.1	40	1503	+	34753991	-	FSU_RS00005	WP_015732405.1	487	chromosomal replication initiator protein DnaA
chr	NC_017448.1	1451	2371	+	34753992	-	FSU_RS00010	WP_081440912.1	306	hypothetical protein
chr	NC_017448.1	2584	3951	+	34753993	-	FSU_RS00015	WP_014544871.1	455	hypothetical protein
chr	NC_017448.1	4092	5567	+	34753994	nadE	FSU_RS00020	WP_015732407.1	491	NAD(+) synthase
chr	NC_017448.1	5757	6368	+	34753995	-	FSU_RS00025	WP_014544873.1	203	peptidylprolyl isomerase
chr	NC_017448.1	6497	7972	+	34753996	-	FSU_RS00030	WP_015732408.1	491	hypothetical protein
chr	NC_017448.1	7989	9104	+	34753997	-	FSU_RS00035	WP_014544875.1	371	MULTISPECIES: hypothetical protein
chr	NC_017448.1	9163	10770	+	34753998	-	FSU_RS00040	WP_014544876.1	535	citramalate synthase
chr	NC_017448.1	10842	12131	+	34753999	hisD	FSU_RS00045	WP_014544877.1	429	MULTISPECIES: histidinol dehydrogenase
chr	NC_017448.1	12251	12982	-	34754000	-	FSU_RS00050	WP_014544878.1	243	CvpA family protein
chr	NC_017448.1	12996	14045	-	34754001	-	FSU_RS00055	WP_014544879.1	349	serine/threonine protein kinase
chr	NC_017448.1	14068	15648	-	34754002	nadB	FSU_RS00060	WP_014544880.1	526	L-aspartate oxidase
chr	NC_017448.1	15807	17738	+	34754003	-	FSU_RS00065	WP_015732409.1	643	peptidyl-prolyl cis-trans isomerase
chr	NC_017448.1	18166	19218	-	34754005	-	FSU_RS00075	WP_014544882.1	350	hypothetical protein
chr	NC_017448.1	19342	20040	+	34754006	-	FSU_RS00080	WP_014544883.1	232	MULTISPECIES: OmpA family protein
chr	NC_017448.1	20376	21209	-	34754007	-	FSU_RS00085	WP_014544884.1	277	MULTISPECIES: hypothetical protein
chr	NC_017448.1	21284	21820	-	34754008	-	FSU_RS00090	WP_014544885.1	178	hypothetical protein
chr	NC_017448.1	21859	22677	-	34754009	-	FSU_RS00095	WP_014544886.1	272	ADP-ribosylglycohydrolase
chr	NC_017448.1	22791	23870	+	34754010	-	FSU_RS00100	WP_014544887.1	359	BspA family leucine-rich repeat surface protein
chr	NC_017448.1	24058	24612	+	34754011	-	FSU_RS00105	WP_014544888.1	184	hypothetical protein
chr	NC_017448.1	24684	26279	-	34754012	-	FSU_RS00110	WP_014544889.1	531	MULTISPECIES: heme ABC transporter ATP-binding protein
chr	NC_017448.1	26375	27127	+	34757089	-	FSU_RS15795	WP_015732410.1	250	hypothetical protein
chr	NC_017448.1	27202	28698	+	34754013	-	FSU_RS00120	WP_014544891.1	498	MULTISPECIES: amino acid ABC transporter permease
chr	NC_017448.1	28688	29434	+	34754014	-	FSU_RS00125	WP_014544892.1	248	amino acid ABC transporter ATP-binding protein
chr	NC_017448.1	29563	29940	-	34754015	-	FSU_RS00130	WP_014544893.1	125	MULTISPECIES: hypothetical protein
chr	NC_017448.1	30008	31234	-	34754016	-	FSU_RS00135	WP_014544894.1	408	hypothetical protein
chr	NC_017448.1	31238	32086	-	34754017	-	FSU_RS00140	WP_014544895.1	282	TIGR00159 family protein
chr	NC_017448.1	32073	32987	-	34754018	folP	FSU_RS00145	WP_014544896.1	304	dihydropteroate synthase
chr	NC_017448.1	32997	35027	-	34754019	-	FSU_RS00150	WP_014544897.1	676	ATP-dependent zinc metalloprotease FtsH
chr	NC_017448.1	35074	36255	-	34754020	tilS	FSU_RS00155	WP_014544898.1	393	tRNA lysidine(34) synthetase TilS
chr	NC_017448.1	36364	37380	-	34754021	-	FSU_RS00160	WP_014544899.1	338	hypothetical protein
chr	NC_017448.1	37646	38509	-	34754022	-	FSU_RS00165	WP_014544900.1	287	nucleotidyl transferase AbiEii/AbiGii toxin family protein
chr	NC_017448.1	38512	39087	-	34754023	-	FSU_RS00170	WP_014544901.1	191	hypothetical protein
chr	NC_017448.1	39380	39934	-	34754024	-	FSU_RS00175	WP_014544903.1	184	hypothetical protein
chr	NC_017448.1	40028	41236	-	34754025	-	FSU_RS00180	WP_014544905.1	402	methionine adenosyltransferase
chr	NC_017448.1	41472	42236	+	34754026	-	FSU_RS00185	WP_014544906.1	254	Nif3-like dinuclear metal center hexameric protein
chr	NC_017448.1	42412	43332	+	34754027	-	FSU_RS00190	WP_014544907.1	306	M23 family peptidase
chr	NC_017448.1	43383	44591	+	34754028	-	FSU_RS00195	WP_014544908.1	402	hypothetical protein
chr	NC_017448.1	44563	45354	+	34754029	-	FSU_RS00200	WP_014544909.1	263	hypothetical protein
chr	NC_017448.1	45364	46020	+	34754030	-	FSU_RS00205	WP_014544910.1	218	hypothetical protein
chr	NC_017448.1	46326	46517	-	34754033	-	FSU_RS00220	WP_015732413.1	63	hypothetical protein
chr	NC_017448.1	46955	49231	-	34754035	-	FSU_RS00230	WP_015732414.1	758	HDIG domain-containing protein
chr	NC_017448.1	49243	50205	-	34754036	-	FSU_RS00235	WP_015732415.1	320	PhoH family protein
chr	NC_017448.1	50195	50551	-	34754037	-	FSU_RS00240	WP_014544912.1	118	hypothetical protein
chr	NC_017448.1	50634	51698	+	34754038	-	FSU_RS00245	WP_041917809.1	354	aminopeptidase P family protein
chr	NC_017448.1	51593	52009	+	34757131	-	FSU_RS16030	WP_081441054.1	138	hypothetical protein
chr	NC_017448.1	52060	55485	+	34754039	-	FSU_RS00255	WP_014544913.1	1141	MFS transporter
chr	NC_017448.1	55604	56521	+	34754040	-	FSU_RS00260	WP_014544914.1	305	hypothetical protein
chr	NC_017448.1	56624	58957	+	34754041	-	FSU_RS00265	WP_014544915.1	777	avirulence protein
chr	NC_017448.1	59055	60080	+	34754042	-	FSU_RS00270	WP_014544916.1	341	hypothetical protein
chr	NC_017448.1	60143	62512	+	34754043	-	FSU_RS00275	WP_014544917.1	789	hypothetical protein
chr	NC_017448.1	62606	63394	+	34754044	-	FSU_RS00280	WP_014544918.1	262	inositol monophosphatase
chr	NC_017448.1	63615	65156	-	34754045	-	FSU_RS00285	WP_014544919.1	513	acyl-CoA carboxylase subunit beta
chr	NC_017448.1	65178	66026	-	34754046	fabD	FSU_RS00290	WP_014544920.1	282	MULTISPECIES:
chr	NC_017448.1	66269	66514	+	34754047	-	FSU_RS00295	WP_014544921.1	81	MULTISPECIES: acyl carrier protein
chr	NC_017448.1	66551	68944	+	34754048	-	FSU_RS00300	WP_015732418.1	797	MULTISPECIES: 3-oxoacyl-ACP synthase
chr	NC_017448.1	68966	69697	+	34754049	-	FSU_RS00305	WP_014544923.1	243	MULTISPECIES: 3-oxoacyl-ACP reductase
chr	NC_017448.1	69697	70140	+	34754050	-	FSU_RS00310	WP_015732419.1	147	MULTISPECIES: 3-hydroxyacyl-ACP dehydratase FabZ
chr	NC_017448.1	70198	70908	+	34754051	-	FSU_RS00315	WP_015732420.1	236	1-acyl-sn-glycerol-3-phosphate acyltransferase
chr	NC_017448.1	70908	71756	+	34754052	-	FSU_RS00320	WP_014544926.1	282	MULTISPECIES: patatin family protein
chr	NC_017448.1	72101	73450	+	34754053	-	FSU_RS00325	WP_014544927.1	449	MULTISPECIES: NADP-specific glutamate dehydrogenase
chr	NC_017448.1	74049	76052	+	34754054	-	FSU_RS00330	WP_014544928.1	667	GGDEF-domain containing protein
chr	NC_017448.1	76049	76882	-	34754055	-	FSU_RS00335	WP_014544929.1	277	TatD family deoxyribonuclease
chr	NC_017448.1	77008	77517	-	34754056	-	FSU_RS00340	WP_015732421.1	169	transcription elongation factor GreA
