Feature ID	Gene length	UK	G1	BC8	C45	C19	G45							
aadA	789	168	185	128	65	127	147							
aas	2160	1008	1112	1471	2308	1650	1087							
aat	705	352	494	430	968	794	551							
abrB	963	496	524	310	210	190	474							
accA	960	980	1152	1574	3328	2670	1316							
accB	471	1987	2162	3027	4885	5977	4476							
accC	1350	2416	3279	5054	10460	10627	6641							
accD	915	1917	1834	2396	4123	2862	1950							
aceA	1305	507	591	249	257	374	494							
aceB	1602	1176	946	441	353	753	1768							
aceE	2664	11150	10618	10551	18305	12082	15805							
aceF	1884	6215	5768	4703	8318	5594	6293							
aceK	1752	843	745	455	372	449	631							
ackA	1203	16702	13932	27101	30913	35502	22678							
acnA	2676	19522	24907	5928	1441	1369	2556							
acnB	2598	5216	7690	8087	12803	8734	13100							
acpP	237	32199	24753	39602	40827	75580	50057							
acpS	381	242	380	455	661	621	496							
acpT	579	269	340	247	194	186	224							
acrA	1194	8790	7813	9677	6540	7082	6968							
acrB	3150	11135	16422	19720	19503	14850	14610							
acrD	3114	629	575	566	1487	1185	900							
acrE	1158	168	218	238	138	144	102							
acrF	3114	2857	2515	1446	779	893	1300							
acrR	654	2572	2204	2294	1186	4114	2904							
acs	1959	2474	2172	361	464	1080	392							
actP	1650	773	819	251	299	304	260							
ada	1062	340	448	113	154	95	96							
add	1002	1507	2325	2565	3388	1756	2324							
adhE	2679	20067	15809	45229	86852	58811	23966							
adhP	930	2550	5004	4185	792	1397	1086							
adi	2271	658	657	1037	575	712	828							
adiY	762	833	395	1390	390	2762	1462							
adk	645	2132	2491	3195	4689	4439	3397							
adrA	1113	946	1351	676	317	333	288							
aefA	3363	3040	4089	6748	7091	7626	9251							
aegA	1962	302	357	464	711	614	446							
aer	1521	19053	9591	6298	182	277	326							
aes	972	172	218	134	126	190	121							
agp	1242	3622	3515	3407	2326	3166	2644							
ahpC	564	8061	6477	8914	9184	10028	9193							
ahpF	1566	1055	1076	1735	2368	1548	1672							
aidB	1623	8692	6222	2486	2385	2122	3195							
ais	606	346	709	905	2337	1984	1806							
alaS	2631	6663	7588	12899	27898	17533	9680							
aldB	1539	17055	16383	6209	1385	1931	2082							
alkA	870	96	128	65	83	68	86							
alkB	651	228	339	92	91	64	107							
allA	483	494	332	525	399	1010	470							
allB	1362	440	309	378	216	341	604							
allC	1236	174	144	340	231	847	570							
allD	1050	224	163	221	87	395	473							
allP	1314	125	121	94	24	37	73							
allR	819	1197	1298	2176	1659	1560	2160							
alr	1080	320	392	440	994	765	496							
amiA	870	731	715	829	1504	3059	1394							
amiB	1320	674	803	705	1043	737	450							
amiC	1254	700	747	893	1086	974	518							
amn	1455	2476	2899	3460	2812	3457	3235							
ampD	564	1263	1422	1532	2459	1155	2195							
ampE	855	440	577	620	922	671	907							
ampG	1476	369	344	584	1097	1425	434							
ampH	1131	1053	915	1169	1864	1435	1773							
amtB	1287	120	137	201	200	219	229							
amyA	1485	2888	3406	1992	520	653	774							
anmK	1122	716	829	738	629	696	838							
ansA	1017	690	820	970	1491	915	715							
ansB	1047	23787	9912	24402	22058	70928	29228							
ansP	1494	414	468	471	837	453	437							
apaG	378	1018	1112	1057	2191	1426	848							
apaH	849	2684	2925	1886	3785	2633	1444							
apbA	912	2085	2024	2071	1877	1749	1985							
apbE	1053	112	76	98	197	183	64							
apeE	1971	1638	2184	1660	647	479	767							
aphA	714	3375	2625	4234	14108	17226	5995							
apt	552	524	625	856	919	1209	529							
araA	1503	256	218	263	145	315	153							
araB	1710	122	160	94	53	57	51							
araC	846	1752	872	669	626	930	757							
araD	696	177	189	144	56	116	89							
araE	1419	486	417	449	272	264	428							
araH	558	277	235	239	203	299	443							
araJ	1173	313	295	363	509	576	233							
arcA	717	19628	13463	18320	22179	28305	15579							
arcB	2337	4449	3767	5471	7607	6181	5540							
arcC	894	29	44	41	30	38	34							
argA	1332	466	410	437	1157	966	652							
argB	777	92	140	137	975	330	154							
argC	1005	393	351	565	2539	1050	591							
argD	1218	410	373	444	1472	892	345							
argE	1152	1442	1405	1657	2387	1411	2190							
argG	1344	361	376	768	7660	1771	1098							
argH	1377	515	484	736	2698	851	588							
argI	1005	154	194	262	965	463	250							
argR	471	5109	4158	6587	4082	8052	4344							
argS	1734	1912	2499	4371	4497	4304	2536							
argT	783	1162	782	390	402	400	768							
arnT	1647	765	1138	1245	4002	1744	1578							
aroA	1284	1135	1350	2490	3262	2754	1533							
aroB	1089	3549	3722	5547	8514	7195	6007							
aroC	1086	529	673	709	1310	1127	552							
aroD	759	664	381	513	444	568	1054							
aroE	819	4012	4228	5601	5006	3677	5305							
aroF	1071	580	767	1156	1802	1006	8555							
aroG	1053	6696	5834	3981	4598	4142	4208							
aroH	1047	1153	1515	1752	1016	893	1726							
aroK	522	4659	4673	6081	7681	9236	7360							
aroL	546	462	451	429	579	536	590							
aroM	678	2885	2746	1909	1020	1260	1509							
aroP	1371	927	724	586	890	594	506							
artI	732	3470	2513	2454	10243	5129	3304							
artJ	732	967	823	1083	3595	2381	1702							
artM	669	1204	1401	1548	5328	2145	1540							
artP	729	1912	1271	1031	3197	1983	967							
artQ	717	1000	987	936	3683	1867	956							
asd	1107	1304	1567	2390	5220	4708	3111							
asmA	1857	876	1212	1208	1572	1758	1114							
asnA	993	1224	1425	736	957	666	1394							
asnB	1665	1262	1300	1752	1542	2113	1836							
asnC (NC_011294 1006629..1008030)	1401	5076	5493	10583	10428	8752	7091							
asnC (NC_011294 3955036..3955495)	459	787	502	600	521	583	399							
aspA	1437	440993	255179	434864	399493	1037695	798828							
aspC	1191	2623	3356	6766	6915	5617	5316							
aspS	1773	2171	2578	4397	8336	7248	3215							
asrA	1044	525	544	884	74	205	856							
asrB	819	236	294	387	47	92	547							
asrC	1014	350	508	449	179	261	667							
astA	1035	655	731	182	168	270	212							
astB	1344	843	1387	157	81	104	101							
astC	1227	384	347	77	55	74	31							
astD	1479	536	673	82	53	52	42							
astE	969	311	544	78	65	63	76							
atpA	1542	7649	10736	17831	31516	22088	16148							
atpB	816	7812	7720	9951	14745	9923	9206							
atpC	420	1576	2296	3254	5981	3522	3361							
