ORF/Gene number and name	Start coordinate	End coordinate	Strand	Total abundance (nts)	Total abundance (reads)	RPKM (per this replicon)	RPKMO (per this replicon)	Total abundance (nts)	Total abundance (reads)	RPKM (per this replicon)	RPKMO (per this replicon)	Total abundance (nts)	Total abundance (reads)	RPKM (per this replicon)	RPKMO (per this replicon)	Total abundance (nts)	Total abundance (reads)	RPKM (per this replicon)	RPKMO (per this replicon)	Total abundance (nts)	Total abundance (reads)	RPKM (per this replicon)	RPKMO (per this replicon)	Total abundance (nts)	Total abundance (reads)	RPKM (per this replicon)	RPKMO (per this replicon)	Total abundance (nts)	Total abundance (reads)	RPKM (per this replicon)	RPKMO (per this replicon)	Total abundance (nts)	Total abundance (reads)	RPKM (per this replicon)	RPKMO (per this replicon)	Total abundance (nts)	Total abundance (reads)	RPKM (per this replicon)	RPKMO (per this replicon)	Total abundance (nts)	Total abundance (reads)	RPKM (per this replicon)	RPKMO (per this replicon)
VC0001_hypothetical_protein	235	402	-	4145	55	5.97548	54.3822	3092	31	3.74399	39.8422	6020	79	6.8027	40.329	15478	153	14.2091	74.414	6081	80	6.85292	47.3987	9525	125	11.488	56.0142	0.5	0	0.0945892	2.4134	73	2	3.0399	97.319	0.5	0	0.0207432	0.306357	0.5	0	0.0119077	0.177885
VC0002_flavodoxin	372	806	-	50853	669	28.2093	256.729	46960	465	21.8801	232.84	79244	1043	34.457	204.275	244666	2422	86.4276	452.627	94151	1239	40.8274	282.386	120691	1588	56.0118	273.108	40	1	2.91178	74.2926	534	17	8.55667	273.932	1356	42	21.6467	319.702	1720	53	15.762	235.464
VC0003_tRNA_modification_GTPase_TrmE	816	2210	-	51785	681	8.94347	81.3935	68245	676	9.89965	105.348	153545	2020	20.7862	123.228	213469	2114	23.4769	122.95	102772	1352	13.8749	95.9666	130715	1720	18.8868	92.09	97	3	2.19835	56.0898	1974	61	9.84776	315.265	3777	117	18.7718	277.242	4907	152	13.9999	209.141
VC0004_putative_inner_membrane_protein_translocase_component_YidC	2271	3896	-	327628	4311	48.5392	441.75	411587	4075	51.2177	545.04	948266	12477	110.123	652.852	596214	5903	56.2493	294.581	325220	4279	37.6652	260.515	424739	5589	52.6458	256.696	1259	39	24.4771	624.522	1927	60	8.24673	264.009	6856	212	29.2307	431.71	10677	331	26.1317	390.374
VC0005_hypothetical_protein	3899	4156	-	21400	282	20.0468	182.444	14468	143	11.3838	121.142	72167	950	52.9916	314.155	36109	358	21.5403	112.808	12922	170	9.46267	65.4493	15671	206	12.2817	59.8844	0.5	0	0.0614646	1.56824	369	11	9.98496	319.657	488	15	13.1556	194.295	966	30	14.9492	223.321
VC0006_ribonuclease_P	4123	4479	-	109309	1438	73.9215	672.751	123431	1222	70.111	746.095	205422	2703	108.893	645.557	219187	2170	94.3916	494.335	67840	893	35.8635	248.053	119449	1572	67.5814	329.52	64	2	5.6796	144.912	626	19	12.2286	391.485	251	8	4.88479	72.1437	451	14	5.03847	75.2682
VC0007_50S_ribosomal_protein_L34	4492	4629	-	305703	4022	537.21	4889.09	437225	4329	645.351	6867.59	381741	5023	525.835	3117.35	582216	5765	651.527	3412.08	194179	2555	266.746	1844.97	283760	3734	417.182	2034.14	251	8	57.8817	1476.82	277	9	14.0609	450.143	210	7	10.6199	156.846	344	11	9.98643	149.184
VC0008_amino_acid_ABC_transporter,_ATP-binding_protein	4871	5608	-	4270	56	1.39484	12.6943	4548	45	1.24786	13.2792	68674	904	17.5843	104.247	51050	505	10.6193	55.6141	153668	2022	39.2403	271.409	191068	2514	52.2174	254.607	0.5	0	0.0214334	0.546862	417	13	3.93479	125.968	636	20	5.97877	88.3008	1080	33	5.82812	87.0645
VC0009_amino_acid_ABC_transproter,_permease_protein	5605	6276	-	1548	20	0.55541	5.05472	3426	34	1.03247	10.9871	57539	757	16.1823	95.9351	35192	348	8.04063	42.1093	128096	1685	35.9277	248.497	162369	2136	48.7389	237.646	131	4	6.16789	157.371	700	22	7.25485	232.256	525	16	5.42075	80.0593	948	29	5.61899	83.9403
VC0010_amino_acid_ABC_transporter,_periplasmic_amino_acid-binding_portion	6354	7100	-	10994	145	3.54799	32.2898	9253	92	2.50816	26.6909	224534	2954	56.7995	336.729	276510	2738	56.8252	297.597	1.36E+06	17838	342.015	2365.57	2.02E+06	26536	544.513	2654.99	24	1	1.01639	25.9327	453	14	4.22292	135.192	3298	102	30.6291	452.362	6430	199	34.2803	512.103
