Gene.ID	Gene.Symbol	24hpi_CtE_Hep2_MOI_1_rRNAdep.Total.Read.Count	24hpi_CtE_Hep2_MOI_1_rRNAdep.Avg.RPKM	1hpi_CtE_Hep2_MOI_1_rRNAdep.Total.Read.Count	1hpi_CtE_Hep2_MOI_1_rRNAdep.Avg.RPKM	Log2(24hpi_CtE_Hep2_MOI_1_rRNAdep/1hpi_CtE_Hep2_MOI_1_rRNAdep)
CT875	NOT FOUND	5888	0.7912822	78	1.6625254	-1.0711123	hypothetical protein
CT001	NOT FOUND	12708	8.9327432	4	0.2930274	4.9299958	hypothetical protein
CT002	gatC	2525	1.3276492	16	1.1782005	0.1722890	aspartyl/glutamyl-tRNA amidotransferase subunit C
CT003	gatA	6609	0.6854300	23	0.4100830	0.7410934	aspartyl/glutamyl-tRNA amidotransferase subunit A
CT004	gatB	5859	0.6225897	12	0.2550712	1.2873817	aspartyl/glutamyl-tRNA amidotransferase subunit B
CT005	NOT FOUND	613	0.0904440	78	2.0633121	-4.5117927	hypothetical protein
CT006	NOT FOUND	112	0.0352842	10	0.3898184	-3.4657073	hypothetical protein
CT007	NOT FOUND	2561	0.4191205	4	0.1546756	1.4381195	hypothetical protein
CT008	rnhB_1	967	0.1723936	4	0.0721960	1.2557154	ribonuclease HIII
CT009	yfgA	917	0.3670978	2	0.1097222	1.7423090	HTH transcriptional regulator
CT010	htrB	1524	0.1841347	4	0.0476557	1.9500408	lipid A biosynthesis lauroyl acyltransferase
CT011	NOT FOUND	4321	0.5441273	2	0.0259320	4.3911388	hypothetical protein
CT012	ybbP	5062	1.0250065	6	0.3476730	1.5598301	hypothetical protein
CT013	cydA	12826	1.5531787	6	0.0950011	4.0311358	cytochrome d ubiquinol oxidase subunit I
CT014	cydB	5271	0.7920079	2	0.0306935	4.6895098	cytochrome d ubiquinol oxidase subunit II
CT015	phoH	2003	0.2599786	8	0.1339437	0.9567662	ATPase
CT016	NOT FOUND	1609	0.3864667	8	0.1991625	0.9563981	hypothetical protein
CT017	NOT FOUND	9659	1.1815843	110	2.1163210	-0.8408359	hypothetical protein
CT018	NOT FOUND	795	0.2871717	271	13.8932489	-5.5963248	hypothetical protein
CTs01	tmRNA	395110	162.4800184	7081	381.5460944	-1.2315949	10Sa RNA
CT019	ileS	6879	0.3530512	102	0.7900348	-1.1620387	isoleucyl-tRNA synthetase
CT020	lepB	1883	0.1651419	6	0.0518227	1.6720501	signal peptidase I
CT021	NOT FOUND	190	0.0445751	0	0.0000000	18.7658785	hypothetical protein
CT022	rpmE2	6965	3.5980017	162	11.7772466	-1.7107345	50S ribosomal protein L31 type B
CT023	prfA	5029	0.7464832	34	0.8434048	-0.1761155	peptide chain release factor 1
CT024	NOT FOUND	1861	0.3654869	21	0.6305621	-0.7868187	N5-glutamine S-adenosyl-L-methionine-dependent methyltransferase
CT025	ffh	6367	0.7909082	142	2.5646889	-1.6972016	signal recognition particle, subunit FFH/SRP54
CT026	rpsP	2725	1.3506062	94	7.2240166	-2.4191938	30S ribosomal protein S16
CT027	trmD	5828	0.9412659	87	2.2656627	-1.2672588	tRNA (guanine-N(1)-)-methyltransferase/unknown domain fusion protein
CT028	rplS	2683	1.2610056	50	3.4452306	-1.4500257	50S ribosomal protein L19
CT029	rnhB	3261	0.8048770	47	1.8759376	-1.2207716	ribonuclease HII
CT030	gmk	2581	0.6521672	21	1.0352524	-0.6666688	guanylate kinase
CT031	NOT FOUND	2034	1.0674486	10	0.6111806	0.8044960	hypothetical protein
CT032	metG	5776	0.5446926	48	0.6350559	-0.2214413	methionyl-tRNA synthetase
CT033	recD_1	2412	0.1771403	8	0.1378833	0.3614448	exodeoxyribonuclease V alpha chain
CT034	ytfF	2237	0.3664046	44	1.0250043	-1.4841205	cationic amino acid transporter
CT035	NOT FOUND	1046	0.2212814	35	1.0194218	-2.2037970	biotin protein ligase
CT036	NOT FOUND	723	0.1017643	41	1.0052632	-3.3042698	hypothetical protein
CT037	NOT FOUND	168	0.0744170	5	0.3319328	-2.1571869	hypothetical protein
CTt01	tRNAAsn	67	0.1505290	0	0.0000000	20.5216100	tRNA-Asn
CT038	NOT FOUND	796	0.3792228	0	0.0000000	21.8546143	hypothetical protein
CT039	dcd	4217	1.2077283	14	0.6186553	0.9650882	deoxycytidine triphosphate deaminase
CT039.1	NOT FOUND	47	0.0491477	0	0.0000000	18.9067644	hypothetical protein
CT040	ruvB	3449	0.6099297	5	0.1031806	2.5634712	Holliday junction DNA helicase RuvB
CT041	NOT FOUND	5867	1.2112988	9	0.2077361	2.5437309	hypothetical protein
CT042	glgX	1561	0.1238704	0	0.0000000	20.2404001	glycogen hydrolase (debranching)
CT043	NOT FOUND	8783	2.7893784	2	0.0646756	5.4305783	hypothetical protein
CT044	ssb	2847	0.9760270	0	0.0000000	23.2184896	single-stranded DNA-binding protein
CT045	pepA	5096	0.5421505	8	0.0869240	2.6408669	leucyl aminopeptidase
CT046	hctB	4487	1.1491861	61	2.2799679	-0.9884010	histone-like protein 2
CT047	NOT FOUND	627	0.1093453	3	0.0752381	0.5393559	hypothetical protein
CT048	yraL	231	0.0504611	8	0.1826134	-1.8555489	SAM-dependent methyltransferase
CT049	NOT FOUND	185	0.0190197	2	0.0221293	-0.2184634	hypothetical protein
CT050	NOT FOUND	332	0.0355619	0	0.0000000	18.4399729	hypothetical protein
CT051	NOT FOUND	518	0.0523491	2	0.0303263	0.7875953	hypothetical protein
CT052	hemN_1	1267	0.1937456	0	0.0000000	20.8857321	coproporphyrinogen III oxidase
CT053	NOT FOUND	1947	0.6909280	0	0.0000000	22.7201039	hypothetical protein
CT054	sucA	2577	0.1445612	2	0.0119928	3.5914400	2-oxoglutarate dehydrogenase E1 component
CT055	sucB_1	1874	0.2691456	4	0.0593743	2.1804763	dihydrolipoamide succinyltransferase
CT056	NOT FOUND	1350	0.3052144	11	0.3413108	-0.1612631	hypothetical protein
CT057	gcpE	3402	0.2983732	69	0.8207709	-1.4598616	4-hydroxy-3-methylbut-2-en-1-yl diphosphate synthase
CT058	NOT FOUND	556	0.0800111	2	0.0429348	0.8980527	hypothetical protein
CT059	fer	185	0.1135697	0	0.0000000	20.1151465	ferredoxin
CTt02	tRNAPro_1	43	0.1082701	0	0.0000000	20.0462035	tRNA-Pro
CT060	flhA	1256	0.1188846	0	0.0000000	20.1811304	type III secretion system protein
CT061	fliA	807	0.1788300	0	0.0000000	20.7701573	RNA polymerase sigma factor sigma-28
CT062	tyrS	3723	0.5277526	9	0.1183892	2.1563243	tyrosyl-tRNA synthetase
CT063	gnd	2307	0.2794650	11	0.1447593	0.9490115	6-phosphogluconate dehydrogenase
CT064	lepA	5444	0.4860813	20	0.2581993	0.9127126	GTP-binding protein LepA
CT065	NOT FOUND	16121	1.5402035	1780	28.3779967	-4.2035790	ADP/ATP translocase
CT066	NOT FOUND	7192	2.4285024	45	2.3164809	0.0681321	hypothetical protein
CT067	ytgA	10043	1.6877771	36	0.8023124	1.0728884	solute protein binding family
CT068	ytgB_1	7118	1.4811768	26	0.6862371	1.1099649	rRNA methylase
CT069	ytgC	8553	1.0182392	23	0.3805142	1.4200543	integral membrane protein
CT070	ytgD	6578	1.0745275	13	0.2523346	2.0902925	integral membrane protein
CT071	yaeM	5806	0.8339777	9	0.1546414	2.4310822	1-deoxy-D-xylulose 5-phosphate reductoisomerase
CT072	yaeL	7597	0.6806560	8	0.0939766	2.8565524	metalloprotease
CT073	NOT FOUND	2704	0.4366790	6	0.1151258	1.9233620	OMP [leader (19) peptide]
CT074	recF	859	0.1274257	2	0.0296872	2.1017434	recombination protein F
CT075	dnaN	4906	0.6167482	8	0.2469996	1.3201729	DNA polymerase III subunit beta
CT076	smpB	867	0.3243990	2	0.0714835	2.1820872	SsrA-binding protein
CT077	yojL	607	0.1175584	5	0.0856900	0.4561789	hypothetical protein
CT078	folD	652	0.1314226	6	0.1131823	0.2155650	bifunctional 5,10-methylene-tetrahydrofolate dehydrogenase/ 5,10-methylene-tetrahydrofolate cyclohydrolase
CT079	NOT FOUND	290	0.1039154	3	0.1434645	-0.4652844	hypothetical protein
CT080	ltuB	6966	3.8819355	155	12.5852488	-1.6968858	late transcription unit B protein
CT081	NOT FOUND	19340	9.5712266	199	16.2133292	-0.7604047	hypothetical protein
CT082	NOT FOUND	1005	0.0942834	34	0.5192326	-2.4613053	hypothetical protein
CT083	NOT FOUND	491	0.1597737	7	0.3128292	-0.9693453	hypothetical protein
CT084	NOT FOUND	2234	0.3176127	5	0.2326888	0.4488668	phopholipase D superfamily protein
CT085	NOT FOUND	1497	0.1433279	27	0.3915724	-1.4499595	hypothetical protein
CT086	rpmB	4404	2.6947969	74	6.2688142	-1.2180159	50S ribosomal protein L28
CT087	malQ	529	0.0574273	0	0.0000000	19.1313772	4-alpha-glucanotransferase
CT088	sycE	575	0.2168872	0	0.0000000	21.0485135	secretion chaperone
CT089	lcrE	4946	0.6401769	0	0.0000000	22.6100392	low calcium response E
CT090	lcrD	13877	1.0417252	6	0.0529351	4.2986063	low calcium response D
CT091	yscU	3938	0.6059898	1	0.0150492	5.3315348	type III secretion system protein
CT092	ychF	846	0.1266902	2	0.1039964	0.2847714	GTP-dependent nucleic acid-binding protein EngD
CT093	ribF	1375	0.2497847	5	0.0981159	1.3481263	bifunctional riboflavin kinase/FMN adenylyltransferase
CT094	truB	4572	1.0401920	59	1.9905394	-0.9363096	tRNA pseudouridine synthase B
CT095	rbfA	4653	2.0152572	76	4.6680673	-1.2118612	ribosome-binding factor A
CT096	infB	21604	1.2470359	272	2.5495016	-1.0317122	translation initiation factor IF-2
CT097	nusA	13344	1.5653885	119	2.5887108	-0.7257130	transcription elongation factor NusA
CT098	rpsA	30468	2.7287240	449	6.3154586	-1.2106610	30S ribosomal protein S1
CT099	trxB	3440	0.5149394	4	0.0757543	2.7650030	thioredoxin reductase
CT100	acpS	737	0.3560887	1	0.0658333	2.4353472	4'-phosphopantetheinyl transferase
CT101	NOT FOUND	749	0.2545326	4	0.1411104	0.8510261	hypothetical protein
CT102	NOT FOUND	1576	0.5599315	2	0.0705552	2.9884260	hypothetical protein
CT103	NOT FOUND	2115	0.3850586	0	0.0000000	21.8766466	HAD family phosphatase/phosphatase
CT104	fabI	2450	0.4377587	2	0.0363395	3.5905254	enoyl-(acyl carrier protein) reductase
CT105	NOT FOUND	652	0.0578875	4	0.0821411	-0.5048523	hypothetical protein
CT106	yceC	443	0.0830996	6	0.1234572	-0.5710976	pseudouridine synthetase family protein
CT107	mutY	429	0.0656413	6	0.2490090	-1.9235219	A/G-specific adenine glycosylase
CT108	ybgI	1264	0.2721124	0	0.0000000	21.3757713	Acr family transporter
CT109	NOT FOUND	937	0.1885468	0	0.0000000	20.8464912	hypothetical protein
CT110	groEL	60390	5.4768727	152	2.6203004	1.0636201	chaperonin GroEL
CT111	groES	7110	3.5425603	37	2.3587861	0.5867478	co-chaperonin GroES
CT112	pepF	5607	0.4840072	12	0.1599814	1.5971243	oligoendopeptidase F
CT113	clpB	13020	0.8071243	2	0.0125179	6.0107264	Clp protease ATPase
CT114	NOT FOUND	3368	0.3783794	2	0.0223111	4.0840000	hypothetical protein
CT115	NOT FOUND	674	0.2453064	141	8.0619595	-5.0384756	inclusion membrane protein D
CT116	NOT FOUND	1682	0.6646743	317	19.4409774	-4.8703113	inclusion membrane protein E
CT117	NOT FOUND	1416	0.7596712	260	19.1494876	-4.6557860	inclusion membrane protein F
CT118	NOT FOUND	1116	0.3480606	115	4.7791214	-3.7793352	inclusion membrane protein G
CT119	incA	614	0.1263999	0	0.0000000	20.2695639	inclusion membrane protein A
CT120	NOT FOUND	103	0.0798736	0	0.0000000	19.6073592	hypothetical protein
CT121	araD	2058	0.4701047	6	0.2025641	1.2146036	ribulose-phosphate 3-epimerase
CT122	efp_1	2600	0.7671858	15	0.5707728	0.4266595	elongation factor P
CT123	accB	1647	0.5551403	12	0.6203828	-0.1603062	acetyl-CoA carboxylase biotin carboxyl carrier protein subunit
CT124	accC	4007	0.4821382	14	0.2472241	0.9636273	acetyl-CoA carboxylase biotin carboxylase subunit
CT125	rplM	10989	3.7253837	132	7.0626351	-0.9228174	50S ribosomal protein L13
CT126	rpsI	6507	2.6576679	73	5.7112843	-1.1036544	30S ribosomal protein S9
CT127	ydhO	1038	0.2110925	20	0.6663526	-1.6584104	polysaccharide hydrolase invasin repeat-containing protein
CT128	adk	1794	0.4002564	14	0.3894166	0.0396101	adenylate kinase
CT129	glnP	1017	0.2748049	49	1.6183571	-2.5580500	amino acid ABC transporter ATPase
CT130	glnQ	934	0.2225194	29	1.0120708	-2.1853075	amino acid ABC transporter ATPase
CT131	NOT FOUND	2553	0.1229655	4	0.0234113	2.3929767	transmembrane protein
CT132	NOT FOUND	751	0.0910558	7	0.0950622	-0.0621208	hypothetical protein
CT133	NOT FOUND	661	0.1372057	51	1.8936305	-3.7867431	rRNA methylase
CT134	NOT FOUND	869	0.3351622	323	18.3674337	-5.7761495	hypothetical protein
CT135	NOT FOUND	1482	0.2163491	396	9.5313530	-5.4612465	hypothetical protein
CT136	NOT FOUND	7134	1.6036351	85	2.5634893	-0.6767630	lysophospholipase esterase
CT137	ywlC	2981	0.5779666	5	0.0963253	2.5849994	SuA5 superfamily-related protein
