#Replicon Name	Replicon Accession	Start	Stop	Strand	GeneID	Locus	Locus tag	Protein product	Length	COG(s)	Protein name
chr	NC_010287.1	1	1017	+	5858769	hemB	CTL0001	YP_001654092.1	338	-	delta-aminolevulinic acid dehydratase
chr	NC_010287.1	1043	2440	-	5857942	nqrA	CTL0002	YP_001654093.1	465	-	Na(+)-translocating NADH-quinone reductase subunit A
chr	NC_010287.1	2462	2896	-	5858572	-	CTL0003	YP_001654094.1	144	-	hypothetical protein CTL0003
chr	NC_010287.1	3010	5157	+	5858782	greA	CTL0004	YP_001654095.1	715	-	transcription elongation factor GreA
chr	NC_010287.1	5345	6547	+	5857932	aspC	CTL0005	YP_001654096.1	400	-	aromatic amino acid aminotransferase
chr	NC_010287.1	6522	7532	+	5858612	-	CTL0006	YP_001654097.1	336	-	rod shape-determining protein MreC
chr	NC_010287.1	7548	10628	-	5858760	recB	CTL0007	YP_001654098.1	1026	-	exodeoxyribonuclease V subunit beta
chr	NC_010287.1	10630	13650	-	5858560	recC	CTL0008	YP_001654099.1	1006	-	exodeoxyribonuclease V subunit gamma
chr	NC_010287.1	13663	15342	+	5858002	-	CTL0009	YP_001654100.1	559	-	membrane efflux protein
chr	NC_010287.1	15362	16177	-	5858731	-	CTL0010	YP_001654101.1	271	-	hypothetical protein CTL0010
chr	NC_010287.1	17072	19645	+	5858735	topA	CTL0011	YP_001654102.1	857	-	DNA topoisomerase I
chr	NC_010287.1	19675	20679	-	5858362	-	CTL0012	YP_001654103.1	334	-	tRNA-dihydrouridine synthase
chr	NC_010287.1	20658	20954	-	5858065	-	CTL0013	YP_001654104.1	98	-	hypothetical protein CTL0013
chr	NC_010287.1	21059	22438	+	5857982	-	CTL0014	YP_001654105.1	459	-	hypothetical protein CTL0014
chr	NC_010287.1	22438	23016	+	5858794	-	CTL0015	YP_001654106.1	192	-	hypothetical protein CTL0015
chr	NC_010287.1	23007	24281	+	5858701	-	CTL0016	YP_001654107.1	424	-	hypothetical protein CTL0016
chr	NC_010287.1	24284	24820	+	5857973	-	CTL0017	YP_001654108.1	178	-	5-formyltetrahydrofolate cyclo-ligase
chr	NC_010287.1	25080	26138	+	5857960	recA	CTL0018	YP_001654109.1	352	-	recombinase A
chr	NC_010287.1	26424	28250	+	5858568	-	CTL0019	YP_001654110.1	608	-	hypothetical protein CTL0019
chr	NC_010287.1	28247	29737	+	5858050	recD	CTL0020	YP_001654111.1	496	-	exodeoxyribonuclease V subunit alpha
chr	NC_010287.1	29803	29982	+	5858007	-	CTL0021	YP_001654112.1	59	-	hypothetical protein CTL0021
chr	NC_010287.1	30083	30802	-	5858092	-	CTL0022	YP_001654113.1	239	-	ABC transporter ATP-binding protein
chr	NC_010287.1	30811	31299	-	5857968	-	CTL0023	YP_001654114.1	162	-	hypothetical protein CTL0023
chr	NC_010287.1	31296	32105	-	5858018	kdsA	CTL0024	YP_001654115.1	269	-	2-dehydro-3-deoxyphosphooctonate aldolase
chr	NC_010287.1	32591	32884	+	5857924	-	CTL0025	YP_001654116.1	97	-	hypothetical protein CTL0025
chr	NC_010287.1	32884	33201	+	5858019	-	CTL0026	YP_001654117.1	105	-	hypothetical protein CTL0026
chr	NC_010287.1	33283	34290	+	5858191	sfhB	CTL0027	YP_001654118.1	335	-	RNA pseudouridine synthase
chr	NC_010287.1	34390	34626	+	5858159	-	CTL0028	YP_001654119.1	78	-	hypothetical protein CTL0028
chr	NC_010287.1	34765	36237	-	5858093	gyrA2	CTL0029	YP_001654120.1	490	-	DNA topoisomerase IV subunit A
chr	NC_010287.1	36252	38069	-	5858181	gyrB	CTL0030	YP_001654121.1	605	-	DNA topoisomerase IV subunit B
chr	NC_010287.1	38449	39456	+	5858148	hemA	CTL0031	YP_001654122.1	335	-	glutamyl-tRNA reductase
chr	NC_010287.1	40168	40569	+	5858045	sycE	CTL0032	YP_001654123.1	133	-	type III secretion system chaperone
chr	NC_010287.1	40573	43062	+	5858226	-	CTL0033	YP_001654124.1	829	-	hypothetical protein CTL0033
chr	NC_010287.1	43106	43357	+	5857951	-	CTL0034	YP_001654125.1	83	-	hypothetical protein CTL0034
chr	NC_010287.1	43384	43635	+	5857950	-	CTL0035	YP_001654126.1	83	-	hypothetical protein CTL0035
chr	NC_010287.1	43654	44103	+	5858714	-	CTL0036	YP_001654127.1	149	-	hypothetical protein CTL0036
chr	NC_010287.1	44123	44794	+	5857938	-	CTL0037	YP_001654128.1	223	-	hypothetical protein CTL0037
chr	NC_010287.1	44796	46124	+	5858830	sctN	CTL0038	YP_001654129.1	442	-	ATP synthase
chr	NC_010287.1	46147	46653	+	5858566	-	CTL0039	YP_001654130.1	168	-	hypothetical protein CTL0039
chr	NC_010287.1	46657	47508	+	5858162	-	CTL0040	YP_001654131.1	283	-	hypothetical protein CTL0040
chr	NC_010287.1	47518	48639	+	5858835	sctQ	CTL0041	YP_001654132.1	373	-	type III secretion system protein
chr	NC_010287.1	48774	50246	+	5857908	pkn5	CTL0042	YP_001654133.1	490	-	serine/threonine-protein kinase
chr	NC_010287.1	50243	53008	+	5858779	-	CTL0043	YP_001654134.1	921	-	type III secretion system protein
chr	NC_010287.1	53322	54392	-	5858268	-	CTL0044	YP_001654135.1	356	-	protein-arginine kinase
chr	NC_010287.1	54382	54903	-	5858468	-	CTL0045	YP_001654136.1	173	-	protein-arginine kinase activator protein
chr	NC_010287.1	55274	55813	-	5858332	frr	CTL0046	YP_001654137.1	179	-	ribosome recycling factor
chr	NC_010287.1	55810	56547	-	5858098	pyrH	CTL0047	YP_001654138.1	245	-	uridylate kinase
